scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3216014001/IF/22012034657487,Orchard Plantation of Beneficiary- SHAILYA BHUIYA  at sansad No-XII ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034661140,Orchard Plantation of Beneficiary –TAPAS BAR at Sansad No-XI ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034657425,Orchard Plantation of Beneficiary- RABIYAL LASKAR  at sansad No-XII ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034659690,Orchard Plantation of Beneficiary- YUSUF MONDAL at Sansad No-XII ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/IAY/4957965,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2621630 ,30-07-2022,19170,0,20070,0,30-07-2021,20070,0,0,0,0  ,20070,
3216014001/IF/22012034656667,Orchard Plantation of Beneficiary- KANIKA NASKAR at sansad No-V ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034657745,Orchard Plantation of Beneficiary-SAIDULLA KHAN   at sansad No-II ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034659602,Orchard Plantation of Beneficiary- NILUFA BIBI at Sansad No-XII ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034657724,Orchard Plantation of Beneficiary- SARIKA BHUIYA   at sansad No-XI ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034657793,Orchard Plantation of Beneficiary-MADHABI BHUINYA  at sansad No-XII ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034657779,Orchard Plantation of Beneficiary-NURJAHAN BIBI  at sansad No-II ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034657401,Orchard Plantation of Beneficiary- FOZILA BIBI  at sansad No-II ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/IF/22012034659600,Orchard Plantation of Beneficiary- SUCHITRA GHORUI  at Sansad No-XII ,22-04-2020,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/FP/320201060560080,DRAINAGE 0F WATER LOGGED LAND AT DIFFERENCE PLACE OF SANSAD NO III VII IX I ,09-08-2021,408419.4,16591.16,368220,0,26-06-2020,368220,0,0,0,0  ,368220,
3216014001/IF/22012034656655,Orchard Plantation of Beneficiary- GANESH BHUIYA  at sansad No-XII ,30-11-2019,1910,566,1910,0,24-08-2018,1910,0,0,0,0  ,1910,
3216014001/DP/22012034406964,Plantation at Graveyard at Sansad-VII Under Ashuti-I G.P ,12-10-2018,1517,705,1440,0,17-10-2017,1440,0,0,0,0  ,1440,
3216014001/IF/IAY/2215694,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5418971 ,20-10-2018,17190,0,12224,0,05-02-2018,12224,0,0,0,0  ,12224,
3216014001/IF/IAY/2215778,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4941090 ,20-10-2018,17190,0,16426,0,05-02-2018,16426,0,0,0,0  ,16426,
3216014001/IF/IAY/2215177,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5487990 ,20-10-2018,17190,0,5730,0,05-02-2018,5730,0,0,0,0  ,5730,
