assetid,schemename,schemecode,assetname,classofasset,sanctiondate,wage,semiskilled,skilled,material,contingency,total,mandays
32000782930,Construction of house of IAY house of Asima Naskar,3216014001/IF/34040931843,Construction of house of IAY house of Asima Naskar,IAY Houses,17-07-2015,4872,0,0,0,0  ,4872,
32000782916,Construction of IAY house of Sisubala Makhal,3216014001/IF/34040929432,Construction of IAY house of Sisubala Makhal,IAY Houses,15-07-2015,4524,0,0,0,0  ,4524,
32000504734,Plantation infront of Ashuti Abaitanik Prathamik Vidyalaya.,3216014001/DP/34041013137,Plantation infront of Ashuti Abaitanik Prathamik Vidyalaya.,Plantation,05-08-2015,2088,0,0,0,0  ,2088,
32000771623,Griha Samriddhi of Bijay Makhal,3216014001/DP/34041011651,Griha Samriddhi of Bijay Makhal,Plantation,03-08-2015,1044,0,0,0,0  ,1044,
32000774123,Plantation at Asuti Main Road via Charial Canal siode at Khanberia,3216014001/DP/34041009859,Plantation at Asuti Main Road via Charial Canal siode at Khanberia,Plantation,20-07-2015,60900,0,0,86940,0  ,147840,
32000771665,Griha Samriddhi of Sukanta Mondal,3216014001/DP/34041011656,Griha Samriddhi of Sukanta Mondal,Plantation,03-08-2015,1044,0,0,0,0  ,1044,
32000782951,Construction of House of Shanti Bhuiya,3216014001/IF/34040946547,Construction of House of Shanti Bhuiya,Farm Pond,15-07-2015,2088,0,0,0,0  ,2088,
32000771547,Griha Samriddhi Of Ramen Makhal,3216014001/DP/34041011640,Griha Samriddhi Of Ramen Makhal,Plantation,03-08-2015,1044,0,0,0,0  ,1044,
32000507493,Construction Of House of Sahida Gazi,3216014001/IF/34040946576,Construction Of House of Sahida Gazi,Farm Pond,15-07-2015,2088,0,0,0,0  ,2088,
32000782891,Construction of IAY house of Dolly Das,3216014001/IF/34040929418,Construction of IAY house of Dolly Das,IAY Houses,15-07-2015,4872,0,0,0,0  ,4872,
32000782960,Construction of House of Nirmala Sardar,3216014001/IF/34040947378,Construction of House of Nirmala Sardar,Farm Pond,15-07-2015,2436,0,0,0,0  ,2436,
32000782986,Construction of House of Kanika Sardar,3216014001/IF/34040947393,Construction of House of Kanika Sardar,Farm Pond,15-07-2015,2436,0,0,0,0  ,2436,
32000782940,IBS house of IAY of Chabi Rong,3216014001/IF/34040937688,IBS house of IAY of Chabi Rong,IAY Houses,27-07-2015,4524,0,0,0,0  ,4524,
32000783000,Construction of House of Sujata Das,3216014001/IF/34040947397,Construction of House of Sujata Das,Farm Pond,15-07-2015,2436,0,0,0,0  ,2436,
32000782970,Construction of House of Shibu Sardar,3216014001/IF/34040947388,Construction of House of Shibu Sardar,Farm Pond,15-07-2015,2436,0,0,0,0  ,2436,
32000783012,cONSTRUCTION OF iay HOUSE OF RINA ADHIKARY,3216014001/IF/34040931880,cONSTRUCTION OF iay HOUSE OF RINA ADHIKARY,IAY Houses,17-07-2015,4872,0,0,0,0  ,4872,
32002262500,IHHL & IBS OF MAMATAJ MOLLA & OTHER 29 BENEFICIARIES AT MOUZA - ASHUTI & GANNEYGANGADHARPUR(PART-IV),3216014001/RS/34041022744,RURAL SANITATION,Individual Household Latrines,23-09-2016,19360,0,0,107126.552,0  ,126486.552,
32001868630,Renovation of Road from Idrish Molla house to Ajay Mondal house,3216014001/RC/320201060152723,Renovation Of Road From Idrish molla House to Ajay mondal House,Restoration of roads,06-01-2014,114440,0,0,0,0  ,114440,
32001868275,cONSTRUCTION OF HOUSE OF MADAN CHANDRA ADHIKARY,3216014001/IF/34040812835,Construction Of House Of Madan Chandra Adhikary,Farm Pond,20-02-2015,4802,0,0,0,0  ,4802,
32001868910,Plantation infront of  KhanberiaKrishnarampur F.P. School,3216014001/DP/34041013162,Plantation infront of Khanberia krishnarampur F.P. School,Plantation,05-08-2015,2088,0,0,0,0  ,2088,
32001868155,Construction of house of Jarina Bibi,3216014001/IF/34040812366,Construction Of House Of Jarina Bibi,Farm Pond,19-02-2015,4802,0,0,0,0  ,4802,
32002262554,IHHL & IBS OF MAMATAJ MOLLA & OTHER 29 BENEFICIARIES AT MOUZA -ASHUTI & GANNEYGANGADHARPUR(PART-III),3216014001/RS/34041022717,RURAL SANITATION,Individual Household Latrines,23-09-2016,15840,0,0,82405.04,0  ,98245.04,
32001868215,Construction of house of Purnima Mondal,3216014001/IF/34040812425,Construction Of House Of Purnima Mondal,Farm Pond,19-02-2015,4802,0,0,0,0  ,4802,
32001868833,Reexcavation of Ramen Makhals pond,3216014001/WC/704010126637,Reexcavation of ramen makhals pond,Farm Pond,10-12-2013,45300,0,0,0,0  ,45300,
32001046794,Kitchen Garden of Ramen Ch. Makhal,3216014001/DP/32,KITCHEN GARDEN OF RAMEN CH. MAKHAL,Plantation in Government Premises,21-12-2011,4550,0,0,2223,0  ,6773,
32001868946,Plantation infront of South Ashuti Rathtala Abaitanik Prathamik Vidyalaya.,3216014001/DP/34041013163,Plantation infront of South Ashuti Rathtala F.P. School,Plantation,05-08-2015,2088,0,0,0,0  ,2088,
32002262862,IHHL & IBS OF SARFUDDIN MOLLA & OTHER 29 BENEFICIARIES AT MOUZA-ASHUTI GANNEYGANGADHARPUR(PART-VI),3216014001/RS/34041038132,RURAL SANITATION,Individual Household Latrines,23-09-2016,0,0,0,8240.504,0  ,8240.504,
32001046824,Kitchen Garden of Rampada das,3216014006/DP/33,KITCHEN GARDEN OF RAMPADA DAS,Plantation in Government Premises,21-12-2011,4550,0,0,2223,0  ,6773,
32002262290,IHHL & IBS OF MAMATAJ MOLLA & OTHER 29 BENEFICIARIES AT MOUZA - ASHUTI & GANNEYGANGADHARPUR(PART-II),3216014001/RS/34041022661,RURAL SANITATION,Individual Household Latrines,23-09-2016,1760,0,0,8240.504,0  ,10000.504,
32003815211,PLANTATION CUM ENVIRONMENTAL CLEANING AT CHAKCHATTA SASHIBHUSAN F.P SCHOOL AT SANSAD NO-AI/II ,3216014001/DP/22012034459931,PLANTATION CUM ENVIRONMENTAL CLEANING AT CHAKCHATTA SASHIBHUSAN F.P SCHOOL AT SANSAD NO-AI/II,Road Line Plantation of Shelter Belt Trees-Comm,07-06-2018,34380,0,0,0,0  ,34380,
32003822307,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1972652,3216014001/IF/IAY/2195020,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB1972652,Constr of PMAY-G House for Individuals,07-03-2018,17190,0,0,0,0  ,17190,
32003822381,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2017760,3216014001/IF/IAY/2195409,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB2017760,Constr of PMAY-G House for Individuals,07-03-2018,17190,0,0,0,0  ,17190,
32001868364,Construction of House of Mira Naskar,3216014001/IF/34040947359,Construction Of House Of Mira Naskar,Farm Pond,15-07-2015,2436,0,0,0,0  ,2436,
32002262096,IHHL & IBS OF MAMATAJ MOLLA & OTHER 29 BENEFICIARIES AT MOUZA - ASHUTI & GANNEY GANGADHARPUR(PART-I),3216014001/RS/34041022658,RURAL SANITATION,Individual Household Latrines,23-09-2016,8800,0,0,49443.024,0  ,58243.024,
