assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,semiskilled,skilled,material,Total Material,contingency,total,mandays
32000044243,SABUJAYAN,Nursery Raising,(Ph-I) Cultivation of Fruit Bearing Trees for IBS (MANGO) at Banagram SAAP No- 1006130243(2014-15),3201010001/DP/34040967005,21-07-2014,34956,0,0,0,0,0  ,34956,
32000044243,SABUJAYAN,Nursery Raising,(Ph-I) Cultivation of Fruit Bearing Trees IBS (Man,3201010001/DP/34040967005,25-07-2014,62706,0,24337,17406.9,41743.9,0  ,104449.9,
32000044243,SABUJAYAN,Nursery Raising,(Ph-I) Cultivation of Fruit Bearing trees Mango at,3201010001/DP/34040967005,25-07-2014,69792,0,0,23209.2,23209.2,0  ,93001.2,
32000044243,SABUJAYAN,Nursery Raising,(Ph-I) Cultivation of Fruit Bearing Trees IBS (Man,3201010001/DP/34040967005,25-07-2014,95240,0,0,21950.5,21950.5,0  ,117190.5,
32000044243,SABUJAYAN,Nursery Raising,(Ph-I) Cultivation of Fruit Bearing Trees IBS (Man,3201010001/DP/34040967005,25-07-2014,86520,0,4563,9946.8,14509.8,0  ,101029.8,
32000044243,SABUJAYAN,Nursery Raising,(Ph-I)Cultivation of Fruit Bearing Trees IBS (Mang,3201010001/DP/34040967005,25-07-2014,50780.28,0,507,16132.9,16639.9,0  ,67420.18,
32000044243,SABUJAYAN,Nursery Raising,(Ph-I) Cultivation of Fruit Bearing Trees IBS (Man,3201010001/DP/34040967005,25-07-2014,64212,0,3042,18235.8,21277.8,0  ,85489.8,
32000044243,SABUJAYAN,Plantation,(Ph-I) IBS for Fruit Bearing Trees (MANGO) at S. Sadhanpara AAP No- 1006050209 (2015-16),3201010001/DP/34040967005,24-07-2015,20880,0,1305,8058.85,9363.85,0  ,30243.85,
32000044243,SABUJAYAN,Nursery Raising,(Ph-II) Cultivation of Fruit Bearing Trees IBS (Ma,3201010001/DP/34040967005,25-07-2014,52211.24,0,4056,21090.9,25146.9,0  ,77358.14,
32000044243,SABUJAYAN,Nursery Raising,(Ph-II) Cultivation of Fruit Bearing Trees IBS (Ma,3201010001/DP/34040967005,25-07-2014,22194,0,1267.5,14920.2,16187.7,0  ,38381.7,
32000044243,SABUJAYAN,Nursery Raising,(Ph-II) Cultivation of Fruit Bearing Trees IBS (Mango) at N. Rukunpur SAAP No- 1006030233(2014-15),3201010001/DP/34040967005,29-08-2014,22548,0,1014,7045.65,8059.65,0  ,30607.65,
32000044243,SABUJAYAN,Nursery Raising,(Ph-II) Cultivation of Fruit Bearing Trees IBS (Mango) at S. Rukunpur SAAP No- 1006010231/06,3201010001/DP/34040967005,29-08-2014,25860,0,0,14045.3,14045.3,0  ,39905.3,
32000044243,SABUJAYAN,Plantation,(Ph-II) Cultivation of Fruits Plant (LITCHI) at Banagram SAAP No- 1006130243(2014-15),3201010001/DP/34040967005,29-09-2014,0,0,0,555,555,0  ,555,
32000044243,SABUJAYAN,Plantation,(Ph-III) Cultivation of Fruit Bearing Trees IBS (M,3201010001/DP/34040967005,25-07-2014,40053,0,2028,11589.3,13617.3,0  ,53670.3,
32000044243,SABUJAYAN,Plantation,(Ph-III) Culti of Fruits Plant (GUAVA) at S. Sadhanpara SAAP No- 100605235(2014-15),3201010001/DP/34040967005,19-11-2014,26178,0,507,9226.3,9733.3,0  ,35911.3,
32000044243,SABUJAYAN,Nursery Raising,(Ph-III) Cultivation of Fruit Bearing Trees IBS (M,3201010001/DP/34040967005,25-07-2014,14928,0,0,9900.75,9900.75,0  ,24828.75,
32000044243,SABUJAYAN,Plantation,(Ph-III) Plantation at Pri. School  at Banagram AAP No- 1006120225 (2015-16),3201010001/DP/34040967005,04-07-2015,18966,0,0,300.45,300.45,0  ,19266.45,
32000044243,SABUJAYAN,Plantation,(Ph-III) Cultivation of Fruits Plant (LITCHI) at Bargora SAAP No- 1006080238(2014-15),3201010001/DP/34040967005,29-09-2014,0,0,0,3885,3885,0  ,3885,
32000044243,SABUJAYAN,Nursery Raising,(Ph-III)Cultivation of Fruit BearingTreesIBS (Mang,3201010001/DP/34040967005,25-07-2014,25886.6,0,1014.5,11174.8,12189.3,0  ,38075.9,
32000044243,SABUJAYAN,Plantation,(Ph-III) Cultivation of Fruits Plant (LITCHI) at N.Rukunpur SAAP No- 1006030233(2014-15),3201010001/DP/34040967005,29-09-2014,46980,0,0,4329,4329,0  ,51309,
32000044243,SABUJAYAN,Nursery Raising,(PH-III) Cultivation of Fruit Bearing Trees IBS (M,3201010001/DP/34040967005,25-07-2014,88206,0,4309.5,20308,24617.5,0  ,112823.5,
32000044243,SABUJAYAN,Plantation,(Ph-IV) Cultivation of Fruits Plant (LITCHI) at Bargora SAAP No- 1006080238(2014-15),3201010001/DP/34040967005,29-09-2014,0,0,0,4292,4292,0  ,4292,
32000044243,SABUJAYAN,Plantation,(Ph-II) Culti of Fruits Plant (GUAVA) at S.sadhanpara SAAP No- 1006050235(2014-15),3201010001/DP/34040967005,19-11-2014,39396,0,1014,12952.8,13966.8,0  ,53362.8,
32000044243,SABUJAYAN,Nursery Raising,(Ph-II) Cultivation of Fruit Bearing Trees IBS (Ma,3201010001/DP/34040967005,25-07-2014,50256,0,0,21950.5,21950.5,0  ,72206.5,
32000044243,SABUJAYAN,Plantation,(Ph-IV) Cultivation of Fruits Plant (LITCHI) at N.Rukunpur SAAP No- 1006030233(2014-15),3201010001/DP/34040967005,29-09-2014,28710,0,0,2590,2590,0  ,31300,
32000044243,SABUJAYAN,Plantation,(Ph-IV) Cultivation of Fruits Plant (LITCHI) at Chupipota SAAP No- 1006100240(2014-15),3201010001/DP/34040967005,29-09-2014,30420,0,0,10360,10360,0  ,40780,
32000044243,SABUJAYAN,Plantation,(Ph-IV) Cultivation of Fruits Plant (LITCHI) at Rakhalgachhi SAAP No- 1006060236(2014-15),3201010001/DP/34040967005,29-09-2014,36504,0,2028,4440,6468,0  ,42972,
32000044243,SABUJAYAN,Plantation,(Ph-IV) Cultivation of Fruits Plant (LITCHI) at S. Sadhanpara SAAP No- 1006050235(2014-15),3201010001/DP/34040967005,29-09-2014,17742,0,253.5,3885,4138.5,0  ,21880.5,
32000044243,SABUJAYAN,Plantation,(Ph-IV) Cultivation of Fruits Plant (LITCHI) at Sahebnagar SAAP No- 1006070237(2014-15),3201010001/DP/34040967005,29-09-2014,18060,0,0,869.5,869.5,0  ,18929.5,
32000044243,SABUJAYAN,Plantation,(Ph-V) Cultivation of Fruits Plant (LITCHI) at Rakhalgachhi SAAP No- 1006060236(2014-15),3201010001/DP/34040967005,29-09-2014,28392,0,18252,5198.5,23450.5,0  ,51842.5,
32000044243,SABUJAYAN,Plantation,PLANTETION UNDER I.B.S. AT SANSAD NO.-IX UNDER BELPUKUR G.P,3201010001/DP/34040967005,03-09-2014,28710,0,1827,0,1827,0  ,30537,
32000044243,SABUJAYAN,Plantation,(Ph-V) Cultivation of Fruits Plant (LITCHI) at S. Sadhanpara SAAP No- 1006050235(2014-15),3201010001/DP/34040967005,29-09-2014,15480,0,507,2701,3208,0  ,18688,
32000044269,SABUJAYAN,Plantation,(Ph-I) Culti of Fruits Plant (GUAVA) at S. Sadhanpara SAAP No- 1006050235(2014-15),3201010001/DP/34040970589,19-11-2014,48936,0,761,16563.7,17324.7,0  ,66260.7,
32000044269,SABUJAYAN,Plantation,PLANTETION UNDER I.B.S. AT SANSAD NO-IX,3201010001/DP/34040970589,31-07-2014,32364,0,1827,0,1827,0  ,34191,
32000044322,NEW BUILDING,IAY Houses,CONST. OF IAY BUILDING OF INDIVIDUAL BENEFICIARIES AT BELPUKUR SANSAD NO-XV,3201010001/IF/34040776230,30-10-2014,15033,0,0,0,0,0  ,15033,
32000044322,NEW BUILDING,IAY Houses,CONST. OF IAY BUILDING OF INDIVIDUAL BENEFICIARIES AT SANSAD NO - XVI,3201010001/IF/34040776230,07-07-2015,15138,0,0,0,0,0  ,15138,
32000044357,NEW BUILDING,Construction of Contour,CONST. OF IAY BUILDING OF INDIVIDUAL BENEFICIARIES AT SANSAD NO.-III,3201010001/IF/34040786593,03-12-2014,15172,0,0,0,0,0  ,15172,
32000044419,ROAD,Earthern road,ESTIMATE FOR E/W IN 5 NOS. LANE IN SIDE OF PWD ROAD AT DWIPCHANDRAPUR,3201010001/RC/320201060201237,25-07-2014,123521.58,0,9678,0,9678,0  ,133199.58,
32000044577,SOUCHAGAR,Individual Household Latrines,Abstruct cost estimate of Individual H/O Latrine at Sansad No.-IV,3201010001/RS/34040930886,13-06-2014,13689,0,0,29241,29241,0  ,42930,
32000044648,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-X,3201010001/RS/34040932200,13-06-2014,7605,0,0,16245,16245,0  ,23850,
32000044680,SOUCHAGAR,School Toilet Units,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-VII,3201010001/RS/34040945672,13-06-2014,33462,0,0,71478,71478,0  ,104940,
32000044717,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O AT SANSAD NO.-XVIII,3201010001/RS/34040945680,12-06-2014,4563,0,0,9747,9747,0  ,14310,
32000044744,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-XVI,3201010001/RS/34040945683,12-06-2014,25350,0,0,56933,56933,0  ,82283,
32000044774,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-XVIII(P=2),3201010001/RS/34040945688,12-06-2014,29406,0,0,0,0,0  ,29406,
32000044811,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-VI,3201010001/RS/34040945692,12-06-2014,0,0,0,0,0,0  ,0,
32000044852,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-I,3201010001/RS/34040945693,13-06-2014,0,0,0,32490,32490,0  ,32490,
32000044870,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-II,3201010001/RS/34040945695,13-06-2014,0,0,0,0,0,0  ,0,
32000044898,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-VI,3201010001/RS/34040945696,13-06-2014,0,0,0,0,0,0  ,0,
32000044916,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-IV,3201010001/RS/34040945697,13-06-2014,0,0,0,0,0,0  ,0,
32000044939,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-V,3201010001/RS/34040945754,02-10-2014,39150,0,0,68229,68229,0  ,107379,
32000044970,SOUCHAGAR,Individual Household Latrines,ABSTRUCT COST ESTIMATE OF INDIVIDUAL H/O LATRINE AT SANSAD NO.-V,3201010001/RS/34040945755,02-10-2014,22620,0,0,74727,74727,0  ,97347,
