scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3201010001/FP/130717716898,23-05-2019,PROTECTION OF BUNDH AT RAJAPUR WITH VETIVER AT SANSAD NO-VII(P-I) ,90000,30000,72000,30420,07-02-2017,72000,0,30420,0,0  ,102420,
3201010001/IF/321002040891055,01-07-2019,CONST. OF GITANJALI BUILDING OF AJEMA BIBI SK AT SANSAD XVIII ,17100,100,16999,0,04-10-2018,16999,0,0,0,0  ,16999,
3201010001/DP/22012034418681,23-05-2019,Protection of Bundh beside Kankra Bill with vetiver at Sansad no-VII ,310000,40000,280175,34830,15-01-2018,280175,0,34830,0,0  ,315005,
3201010001/IF/321002040891061,30-07-2019,CONST. OF GITANJALI BUILDING OF LAKSHI DEBNATH AT SANSAD III ,17100,100,16044,0,05-10-2018,16044,0,0,0,0  ,16044,
3201010001/DP/22012034395945,23-05-2019,HEDGE FENCING AT RAJAPUR HEALTH CENTRE PREMISES AT SANSAD NO-VII ,62000,18000,12780,13230,14-07-2017,12780,0,13230,0,0  ,26010,
3201010001/IF/22012034599610,11-06-2019,Const. of GITANJALI Building(Samsul Biswas) at Sansad No-XV ,16200,100,16808,0,04-02-2018,16808,0,0,0,0  ,16808,
3201010001/IF/22012034599620,17-06-2019,Const. of GITANJALI Building(majia Bibi) at sansad No-XVII ,16200,100,17190,0,04-02-2018,17190,0,0,0,0  ,17190,
3201010001/IF/321002040891048,23-05-2019,CONST. OF GITANJALI BUILDING OF RAKHAL SARDER AT SANSAD XII ,17100,100,17190,0,04-10-2018,17190,0,0,0,0  ,17190,
3201010001/IF/22012034599616,11-06-2019,Const. of GITANJALI Building (Dhulu Ghosh) at Sansad No-XIX ,16200,100,16808,0,04-02-2018,16808,0,0,0,0  ,16808,
3201010001/IF/22012034599609,01-07-2019,Const. of GITANJALI Building (Sujay Ghosh) at Sansad No-XII ,16200,100,16617,0,04-02-2018,16617,0,0,0,0  ,16617,
3201010001/IF/IAY/1849149,04-06-2019,Construction of IAY House -IAY REG. NO. WB1450810 ,16200,0,17135,0,05-08-2017,17135,0,0,0,0  ,17135,
3201010001/IF/321002040891083,04-06-2019,CONST. OF GITAJALI BUILDING OF SHIBSANKAR DAM AT SANSAD NO-X ,17100,100,16044,0,05-10-2018,16044,0,0,0,0  ,16044,
3201010001/DP/22012034395958,23-05-2019,HEDGE FENCING AT RAJAPUR PRY. SCHOOL AT SANSAD NO-VII ,62000,18000,12240,13230,14-07-2017,12240,0,13230,0,0  ,25470,
3201010001/DP/22012034395955,23-05-2019,HEDGE FENCING AT RAJAPUR SSK AT SANSAD NO-VII ,62000,18000,12600,11340,17-07-2017,12600,0,11340,0,0  ,23940,
3201010001/IF/22012034599607,01-07-2019,Const. of GITANJALI Building (Matilal Das) at Sansad No-X ,16200,100,16808,0,04-02-2018,16808,0,0,0,0  ,16808,
3201010/IF/321002041197903,19-07-2022,Const of GITANJALI House of Chandu Ghosh at Sansad No V under Belpukur GP ,18360,0,17580,0,08-10-2020,17580,0,0,0,0  ,17580,
3201010001/IF/22012034561919,13-06-2018,Construction of Tube well platform with soak pit and compost pit of PMAY(G) AT Sansad No.-IV ,720,100,720,0,26-10-2017,720,0,0,0,0  ,720,
3201010001/IF/IAY/3249927,18-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3319404 ,17190,0,16430,0,05-12-2019,16430,0,0,0,0  ,16430,
3201010001/IF/22012034563944,04-02-2019,"Construction of GITANJALI building of Kalachand Pal, S/O- Gyostobihari Pal at sansad-10 ",16200,100,16919,0,28-10-2017,16919,0,0,0,0  ,16919,
3201010001/IF/IAY/1323340,04-02-2019,Construction of IAY House -IAY REG. NO. WB1676747 ,16200,0,15230,0,28-03-2017,15230,0,0,0,0  ,15230,
3201010001/IF/22012034562771,13-06-2018,Construction of Tube well platform with Soak Pit and Compost pit of PMAY(G) building of  SELIMA BIBI[WB1671013] at sansad-14 ,720,100,720,0,27-10-2017,720,0,0,0,0  ,720,
3201010001/IF/IAY/1213758,04-02-2019,Construction of IAY House -IAY REG. NO. WB2142965 ,16200,0,16475,0,28-03-2017,16475,0,0,0,0  ,16475,
3201010001/IF/IAY/1323317,04-02-2019,Construction of IAY House -IAY REG. NO. WB1668408 ,16200,0,16655,0,28-03-2017,16655,0,0,0,0  ,16655,
3201010001/IF/IAY/1211796,04-02-2019,Construction of IAY House -IAY REG. NO. WB2097117 ,16200,0,15924,0,03-04-2017,15924,0,0,0,0  ,15924,
3201010001/IF/IAY/3266188,29-12-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3057463 ,18360,0,14919,0,05-12-2019,14919,0,0,0,0  ,14919,
3201010001/IF/22012034563953,04-02-2019,"Construction of GITANJALI building of Sarjina Bibi, W/O- Tahir Ali Sk at sansad-3 ",16200,100,16985,0,28-10-2017,16985,0,0,0,0  ,16985,
3201010001/WH/203030424987,13-06-2018,EXCAVATION OF NEW POND OF KRISHNACHANDRA DAS AT SANSAD NO-XI ,56000,7000,53322,11340,11-03-2017,53322,2430,8910,0,0  ,64662,
3201010001/IF/IAY/3266193,29-12-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3134821 ,18360,0,14919,0,05-12-2019,14919,0,0,0,0  ,14919,
3201010001/RC/320201060410501,25-07-2018,CONST. OF SOLING ROAD FROM MRITYUNJOY MONDAL TO H/O PATIT MONDAL AT SANSAD NO-VII ,18000,38000,16680,34935.3,24-04-2017,16680,0,3240,31695.3,0  ,51615.3,
