scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3213010/WH/203030423328,Re - Excavation of Danna Padma pukur with guardwall ,27-06-2018,310816,14943,284377,13839,15-03-2017,284377,10242,270,3327,0  ,298216,
3213010/DP/34041074148,Hedge Plantation at Danna Eco tourisim park ,27-06-2018,263472,35731,251776,34569.07,24-08-2016,251776,5544,3432,25593.07,0  ,286345.07,
3213010005/IF/IAY/4871870,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1203883 ,04-07-2022,20235,0,20235,0,23-06-2020,20235,0,0,0,0  ,20235,
3213010005/FP/320201060558061,DIGGING OF FLOOD CHANNEL AT SIDE OF THE ROAD FROM  DANNA NOUKA GORE TOWARDS GANGULIPARA ,14-07-2022,415045.2,4833,386800,10707,27-07-2020,386800,0,10707,0,0  ,397507,
3213010005/IF/IAY/1937221,Construction of IAY House -IAY REG. NO. WB1125618 ,10-10-2018,17100,0,15662,0,26-08-2017,15662,0,0,0,0  ,15662,
3213010005/FP/320201060558098,DIGGING OF FLOOD CHANNEL AT SIDE OF THE ROAD FROM MOLLICKPARA MAIN ROAD TOWARDS PRY SCHOOL ,14-07-2022,389103.6,4833,289200,5868,16-07-2020,289200,0,5868,0,0  ,295068,
3213010005/IF/IAY/4733347,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5131129 ,04-07-2022,19380,0,19380,0,30-12-2020,19380,0,0,0,0  ,19380,
3213010005/FP/320201060558065,DIGGING OF FLOOD CHANNEL AT SIDE OF THE ROAD FROM BETUR TOWARDS DANNA ,14-07-2022,425421.84,4833,373660,4044,27-07-2020,373660,0,4044,0,0  ,377704,
3213010005/FP/320201060558070,DIGGING OF FLOOD CHANNEL AT SIDE OF THE ROAD FROM BALADNADA TOWARDS CANAL ,14-07-2022,389103.6,4833,367600,8568,29-07-2020,367600,0,8568,0,0  ,376168,
3213010005/IF/IAY/1372372,Construction of IAY House -IAY REG. NO. WB1327112 ,04-04-2018,17100,0,17100,0,24-03-2017,17100,0,0,0,0  ,17100,
