assetid,schemename,schemecode,assetname,classofasset,sanctiondate,wage,semiskilled,skilled,material,contingency,total,mandays
32000045645,180 Estimate for construction of IAY name of beneficiary Satya Bibi Sekh at Anandabas. ,3201009002/IF/34040798815,IAY HOUSE,IAY Houses,17-11-2014,15660,0,0,0,0  ,15660,
32000045538,179 Construction of IAY house of Asiya Bibi at Anadabas under MGNREGA under Bhaluka GP(Part-1),3201009002/IF/34040942482,IAY HOUSE,IAY Houses,30-06-2015,15660,0,0,0,0  ,15660,
32000045683,182 Estimate for construction of IAY name of beneficiary Khayran Bibi Mondal at Anandabas.,3201009002/IF/34040802382,IAY HOUSE,IAY Houses,17-11-2014,13572,0,0,0,0  ,13572,
32000045700,183 Estimate for construction of IAY name of the benificiary Fulkali Bibi at Santoshpur,3201009002/IF/34040802386,IAY HOUSE,IAY Houses,17-11-2014,15660,0,0,0,0  ,15660,
32000045669,181 Estimate for construction of IAY name of beneficiary Panchu Nag at Anandabas.,3201009002/IF/34040798856,IAY HOUSE,IAY Houses,17-11-2014,15660,0,0,0,0  ,15660,
32000045713,184 Estimate for construction of IAY name of the beneficiary Nursalima Bibi at Santoshpur.,3201009002/IF/34040802393,IAY HOUSE,IAY Houses,17-11-2014,9396,0,0,0,0  ,9396,
32000045728,186 Estimate for construction of IAY name of benmeficiary Saraswati Hatui at Satkuliya.,3201009002/IF/34040811117,IAY HOUSE,IAY Houses,17-11-2014,10440,0,0,0,0  ,10440,
32000045741,187 Estimate for construction of IAY name of the  beneficiary Chabi Pal at Bhaluka. ,3201009002/IF/34040802399,IAY HOUSE,IAY Houses,17-11-2014,15660,0,0,0,0  ,15660,
32000045770,189 Estimate for construction of IAY name of beneficiary Jashoda Nag at Natunpara.,3201009002/IF/34040811143,IAY HOUSE,IAY Houses,30-06-2015,15660,0,0,0,0  ,15660,
32000045837,194 Estimate for construction of IAY name of the beneficiary Bina Sil  at Bhaluka.,3201009002/IF/34040802409,IAY HOUSE,IAY Houses,17-11-2014,15660,0,0,0,0  ,15660,
32000045874,201 Construction of IAY house of Aseda Bibi Mondal at Anandabas under MGNREGA under Bhaluka GP(Part-4),3201009002/IF/34040944190,IAY HOUSE,IAY Houses,30-06-2015,15660,0,0,0,0  ,15660,
32000045858,200 Estimate for construction of IAY name of the beneficiary Salatan Bibi at Anandabas.,3201009002/IF/34040803016,IAY HOUSE,IAY Houses,22-01-2015,15660,0,0,0,0  ,15660,
32000045906,203 Construction of IAY house of Rehena  Bibi Mondal at Anadabas under MGNREGA under Bhaluka GP(Part-6),3201009002/IF/34040944222,IAY HOUSE,IAY Houses,30-06-2015,15660,0,0,0,0  ,15660,
32000045787,191 Estimate for construction of IAY name of the beneficiary Shambhu Hazra at Bhaluka.,3201009002/IF/34040802406,IAY HOUSE,IAY Houses,17-11-2014,9396,0,0,0,0  ,9396,
32000045915,204 Estimate for construction of IAY name of the beneficiary Hasina Bibi at Anandabas.,3201009002/IF/34040803030,IAY HOUSE,IAY Houses,22-01-2015,15660,0,0,0,0  ,15660,
32000045989,211 Estimate for construction of IAY name of the Beneficiary Alti Bibi at Anandabas.,3201009002/IF/34040804632,IAY HOUSE,IAY Houses,22-01-2015,15660,0,0,0,0  ,15660,
32000045952,208 Estimate for construction of IAY name of the Beneficiary Sainur Bibi at Anandabas.,3201009002/IF/34040804626,IAY HOUSE,IAY Houses,22-01-2015,13572,0,0,0,0  ,13572,
32000045998,212 Construction of IAY house of Ismatan Bibi Baddi at Anadabas under MGNREGA under Bhaluka GP(Part-15),3201009002/IF/34040944245,IAY HOUSE,IAY Houses,30-06-2015,15660,0,0,0,0  ,15660,
32000046081,219 Estimate for construction of IAY name of the Beneficiary Mahinur Bibi at Anandabas.,3201009002/IF/34040804674,IAY HOUSE,IAY Houses,22-01-2015,15660,0,0,0,0  ,15660,
