scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
(3201009002/FP/320201060425771),Earth work in earthen bundh for flood protection on bundh from H/O Sukumar Bag to H/O Dula Majhi . ,03/09/2019 ,136620 ,11100 ,96460 ,10100 ,06/12/2017,96460,0,8100,2000,0  ,106560,
(3201009002/IF/IAY/2146327),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1984216 ,02/07/2019 ,17190 ,0 ,16808 ,0 ,24/01/2018,16808,0,0,0,0  ,16808,
(3201009002/IF/IAY/2145640),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1475584 ,02/07/2019 ,17190 ,0 ,16999 ,0 ,24/01/2018,16999,0,0,0,0  ,16999,
(3201009002/IF/IAY/2133077),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3280691 ,02/07/2019 ,17190 ,0 ,16235 ,0 ,12/02/2018,16235,0,0,0,0  ,16235,
(3201009002/IF/IAY/1059120),Construction of IAY House -IAY REG. NO. WB1904188 ,02/07/2019 ,15840 ,0 ,13552 ,0 ,17/02/2017,13552,0,0,0,0  ,13552,
(3201009002/IF/IAY/1313128),Construction of IAY House -IAY REG. NO. WB1701472 ,02/12/2019 ,16200 ,0 ,15912 ,0 ,09/02/2017,15912,0,0,0,0  ,15912,
(3201009002/IF/IAY/1316499),Construction of IAY House -IAY REG. NO. WB2546180 ,02/07/2019 ,16200 ,0 ,15912 ,0 ,09/04/2017,15912,0,0,0,0  ,15912,
(3201009002/IF/IAY/1059007),Construction of IAY House -IAY REG. NO. WB1871178 ,11/09/2019 ,15840 ,0 ,11616 ,0 ,17/02/2017,11616,0,0,0,0  ,11616,
(3201009002/IF/IAY/1422233),Construction of IAY House -IAY REG. NO. WB1426087 ,02/12/2019 ,16200 ,0 ,15912 ,0 ,13/08/2017,15912,0,0,0,0  ,15912,
(3201009002/IF/IAY/2139794),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1511393 ,23/09/2019 ,17190 ,0 ,16044 ,0 ,12/02/2018,16044,0,0,0,0  ,16044,
(3201009002/IF/IAY/2135835),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1546035 ,02/07/2019 ,17190 ,0 ,16808 ,0 ,21/02/2018,16808,0,0,0,0  ,16808,
(3201009002/IF/IAY/2137760),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2806501 ,23/09/2019 ,17190 ,0 ,16044 ,0 ,24/01/2018,16044,0,0,0,0  ,16044,
(3201009002/IF/IAY/4116661),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3387484 ,15/05/2022 ,20070 ,0 ,18936 ,0 ,24/06/2020,18936,0,0,0,0  ,18936,
(3201009002/IF/321002041046410),EXCAVATION OF FARM POND ON THE L/O BISHNU CH. DAS AT ANANDABAS UNDER BHALUKA GP ,10/03/2020 ,94907.59 ,3000 ,92590 ,5756 ,22/11/2019,92590,0,2760,2996,0  ,98346,
(3201009002/IF/IAY/4117689),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2862092 ,15/05/2022 ,20070 ,0 ,18936 ,0 ,10/06/2020,18936,0,0,0,0  ,18936,
(3201009002/IF/321002041046408),EXCAVATION OF FARM POND ON THE L/O HARIKALI DAS AT ANANDABAS UNDER BHALUKA GP ,29/03/2020 ,238840.16 ,3000 ,192985 ,10083 ,18/11/2019,192985,0,7087,2996,0  ,203068,
(3201009002/IF/IAY/4117580),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3437838 ,15/09/2021 ,19170 ,0 ,18822 ,0 ,29/06/2020,18822,0,0,0,0  ,18822,
(3201009002/IF/IAY/4117650),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1582433 ,15/09/2021 ,19170 ,0 ,18822 ,0 ,24/06/2020,18822,0,0,0,0  ,18822,
(3201009002/RC/320201060593600),Earth work and Jhama Bats from h/o Akher Sk to Lutharian Bundh at Anandabasd. ,30/03/2022 ,76773.32 ,259661.02 ,60712 ,0 ,21/12/2020,60712,0,0,0,0  ,60712,
(3201009002/IF/IAY/4117709),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3415208 ,02/10/2021 ,19170 ,0 ,18822 ,0 ,29/06/2020,18822,0,0,0,0  ,18822,
(3201009002/IF/IAY/2283222),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1509006 ,04/01/2019 ,17190 ,0 ,17190 ,0 ,05/06/2018,17190,0,0,0,0  ,17190,
(3201009002/WC/704010332061),Exacavation of from pond of Masadul sk at Hatdanga. ,07/05/2018 ,203220 ,40650 ,130350 ,10370 ,15/05/2017,130350,0,8370,2000,0  ,140720,
(3201009002/WC/704010330483),Excavation of farm pond of Sumanta das at Anandabas. ,07/05/2018 ,170820 ,38760 ,66330 ,6320 ,26/04/2017,66330,0,4320,2000,0  ,72650,
(3201009002/WC/704010330478),Excavation of farm pond of Sushil Das at Anandabas. ,07/05/2018 ,235260 ,42540 ,139449 ,11180 ,26/04/2017,139449,0,9180,2000,0  ,150629,
(3201009002/WC/704010330487),Excavation of farm pond of prahallad Santra at satkuliya. ,07/05/2018 ,349740 ,49560 ,70556 ,8210 ,28/04/2017,70556,0,6210,2000,0  ,78766,
(3201009002/IF/IAY/2283223),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1509357 ,04/01/2019 ,17190 ,0 ,17190 ,0 ,05/06/2018,17190,0,0,0,0  ,17190,
(3201009002/IF/IAY/2160701),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3664349 ,08/01/2019 ,17190 ,0 ,17190 ,0 ,21/02/2018,17190,0,0,0,0  ,17190,
(3201009002/WC/704010325628),Re excavation of pond of Bhaluka Matsha samabay samity at Bhaluka under Bhaluka G.P under Kgr-1 ,07/05/2018 ,310680 ,22380 ,152132 ,13880 ,17/04/2017,152132,0,11880,2000,0  ,166012,
(3201009002/RC/320201060383616),Construction of cc road from h/o Gobinda Mallick to H/O Satyen Sinha at Bhaluka Gp. ,27/04/2018 ,7920 ,131049 ,6160 ,3028 ,09/02/2017,6160,0,528,2500,0  ,9188,
(3201009002/WC/704010332690),Excavation of farm pond of Rabindranath Mistri at Bhaluka . ,16/07/2018 ,219240 ,41730 ,145831 ,12596 ,22/05/2017,145831,0,10596,2000,0  ,158427,
(3201009002/IF/IAY/2160857),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1511458 ,22/01/2019 ,17190 ,0 ,17190 ,0 ,12/02/2018,17190,0,0,0,0  ,17190,
(3201009002/RC/320201060383067),Construction of concrete road from the H/O Palash Santra to H/O shyam Santra at natunpara. ,27/04/2018 ,7920 ,131049 ,4928 ,2764 ,09/02/2017,4928,0,264,2500,0  ,7692,
(3201009002/WC/704010334659),Excavation of farm pond of Sanjay Ghosh at Jangalbas. ,07/05/2018 ,90180 ,33900 ,69450 ,6050 ,29/05/2017,69450,0,4050,2000,0  ,75500,
(3201009002/RC/320201060379010),Construction of concrete road from H/O Ukil Sk to Pirhak Sk at Anandabas. ,27/04/2018 ,15136 ,241474 ,13200 ,792 ,09/02/2017,13200,0,792,0,0  ,13992,
(3201009002/RC/320201060578452),Construction of jhama bats from H/O-Babu Sk to H/O-Akubar Mondal at Anandabas. ,30/03/2022 ,54838.08 ,186989.78 ,18196 ,0 ,21/12/2020,18196,0,0,0,0  ,18196,
(3201009002/RC/320201060379070),Construction of concrete road from the H/O Biren Biswas to h/o Mantu Biswas at Bhaluka. ,27/04/2018 ,13376 ,225809 ,12672 ,3028 ,09/02/2017,12672,0,528,2500,0  ,15700,
(3201009002/RC/320201060378328),Construction of concrete road from Temple of shiva to h/o Plan Halder in Bhaluka . ,27/04/2018 ,15664 ,258598 ,15136 ,5792 ,09/02/2017,15136,0,792,5000,0  ,20928,
(3201009002/RC/320201060343273),8 Earth work in road embankment from the L/O Chhaidali Mondal to L/O Golam sk at Anandabas. ,26/04/2018 ,119504 ,13828 ,112086 ,8364 ,16/06/2016,112086,0,6864,1500,0  ,120450,
(3201009002/RC/320201060343197),9 Earth work in road embankment from the L/O Tancher sk to L/O Haidel sk at Anandabas. ,26/04/2018 ,125664 ,14356 ,116213 ,7836 ,21/06/2016,116213,0,6336,1500,0  ,124049,
(3201009002/RC/320201060378397),Construction of concrete road from the h/o Ramen Karmakar to h/o Kismat Sekh at Bhaluka. ,27/04/2018 ,14608 ,241538 ,14432 ,3292 ,09/02/2017,14432,0,792,2500,0  ,17724,
