scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
(3216011003/DP/22012034459388),Raising nursery of SHALUK ANANDADHARA DAL AT SANSAD IX ,25/06/2021 ,260715 ,66883 ,71625 ,49692.5 ,05/06/2018,71625,0,0,49692.5,0  ,121317.5,
(3216011003/FP/320201060521881),Deepening repairing  of flood channel from  suchandan house towarsd badal sardar house  (Xi) ,27/09/2021 ,133279.76 ,5000 ,93590 ,0 ,12/12/2019,93590,0,0,0,0  ,93590,
(3216011003/FP/320201060522494),Deepening repairing  of flood channel from  Roiyasuddin mistri house towards mahiuddin mistri house  ,01/08/2021 ,133279.76 ,5000 ,66850 ,0 ,12/12/2019,66850,0,0,0,0  ,66850,
(3216011003/FP/320201060522492),Deepening repairing  of flood channel from  PWD road towards abul hasan sekh house (X) ,01/08/2021 ,133279.76 ,5000 ,96837 ,0 ,12/12/2019,96837,0,0,0,0  ,96837,
(3216011003/FP/320201060521141),Deepening repairing  of flood channel from  rabindranath naskar house towrads banimadhab naskar gard ,27/09/2021 ,133279.76 ,5000 ,45840 ,0 ,12/12/2019,45840,0,0,0,0  ,45840,
(3216011003/FP/320201060521142),Deepening repairing  of flood channel from  Subal Sardar house towards dipankar naskar garden (IV) ,27/09/2021 ,133279.76 ,5000 ,71052 ,0 ,12/12/2019,71052,0,0,0,0  ,71052,
(3216011003/FP/320201060522548),Deepening repairing  of flood channel from  gosh par towards suchitra house  (IX) ,27/09/2021 ,133279.76 ,5000 ,45458 ,0 ,12/12/2019,45458,0,0,0,0  ,45458,
(3216011003/FP/320201060521138),Deepening repairing  of flood channel from  Subal Sardar house towards sukher pole (V) ,27/09/2021 ,133279.76 ,5000 ,57300 ,0 ,12/12/2019,57300,0,0,0,0  ,57300,
(3216011003/FP/320201060521134),Deepening repairing  of flood channel from  Swapan mondal house towards  rabin mondal house (III) ,01/08/2021 ,133279.76 ,5000 ,53480 ,0 ,12/12/2019,53480,0,0,0,0  ,53480,
(3216011003/RC/320201060546226),Contruction of concrected road from concrected road to ICDS Center  ,20/07/2021 ,51596.42 ,218631.14 ,45076 ,14641.161 ,03/12/2019,45076,0,0,14641.161,0  ,59717.161,
(3216011003/RC/320201060535748),Constr of Cement Concrete Road from chunir mor to kali temple ,25/06/2021 ,559301.61 ,3280218.63 ,226683 ,2984796.303 ,28/11/2019,226683,0,0,2984796.303,0  ,3211479.303,
(3216011003/IF/PP/142787),1  243 Block Plantation-Hort-Trees in fields-Individuals OF Joydeb Ghosal ,25/06/2021 ,13327.24 ,10439.48 ,12797 ,0 ,07/08/2019,12797,0,0,0,0  ,12797,
(3216011003/RC/320201060404186),Construction of concrete road from Chowdhury mondal house to Sitala Mondir Culvert ,20/07/2021 ,36481 ,311710 ,22920 ,288923.52 ,02/10/2018,22920,0,0,288923.52,0  ,311843.52,
(3216011003/IF/PP/140009),1 195 Construction of Farm Ponds for Individuals  Sawkat Sardar ,30/06/2021 ,138951.34 ,2842 ,121380 ,0 ,05/08/2019,121380,0,0,0,0  ,121380,
(3216011003/IF/PP/142790),1  245  Block Plantation-Hort-Trees in fields-Individuals OF Ashok Ghosh ,25/06/2021 ,13327.24 ,10439.48 ,12797 ,0 ,07/08/2019,12797,0,0,0,0  ,12797,
(3216011003/IF/PP/128810),1  238 Block Plantation-Hort-Trees in fields-Individuals OF SHYAMAL BAYEN ,25/06/2021 ,13327.24 ,10439.48 ,7067 ,0 ,07/08/2019,7067,0,0,0,0  ,7067,
(3216011003/RC/320201060408188),Construction of concrete Road from fulbagicha double solling road to Harun Sardar house ,20/07/2021 ,36481 ,311710 ,31515 ,290893.4 ,02/10/2018,31515,0,0,290893.4,0  ,322408.4,
(3216011003/IF/PP/128803),1 198 Block Plantation-Hort-Trees in fields-Individuals OF RAKIBUDDIN MISTRI ,20/07/2021 ,13327.24 ,11017.48 ,4202 ,0 ,03/09/2019,4202,0,0,0,0  ,4202,
(3216011003/IF/PP/142791),1  245 Block Plantation-Hort-Trees in fields-Individuals OF Dayal Chandra Bachar ,25/06/2021 ,13316.61 ,10439.48 ,12797 ,0 ,07/08/2019,12797,0,0,0,0  ,12797,
(3216011003/IF/PP/125964),1   35 Construction of Farm Ponds for Individuals AmrIto naskar ,21/07/2021 ,138951.34 ,2842 ,129471 ,0 ,07/08/2019,129471,0,0,0,0  ,129471,
