assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,Total Material,semiskilled,skilled,material,contingency,total,mandays
32000044070,Improvement of Land,Reclamation of Land,"Modakpara, Land Developement of the indivisual benificiary (BPL/SC/ST) under Dig G.P Phase-IV",3201009008/LD/321002040553461,26-02-2014,150380,0,0,0,0,0  ,150380,
32000044110,Improvement of Land,Reclamation of Land,"Madhyam Hatisala, Land Developement of the indivisual benificiary (BPL/SC/ST) Phase-II",3201009008/LD/321002040553487,26-02-2014,90228,19011,0,19011,0,0  ,109239,
32000044222,Improvement of Land,Earthern road,"Modakpara,Earth Work in road from Nikaripara Ghat to Culvert under Dignagar Gram Panchayet ",3201009008/RC/320201060132931,08-05-2013,0,3322,0,3322,0,0  ,3322,
32000044192,Improvement of Land,Earthern road,"Modakpara,Earth Work in road from the h/o Haribandhu Debnath towards math under Dignagar G.P",3201009008/RC/320201060132923,10-05-2013,0,26048,26048,0,0,0  ,26048,
32000044142,Improvement of Land,Reclamation of Land,"Bazarpara, Land Developement of the indiviusual Beni (BPL/SC/ST) under Dig G.P Phase-II",3201009008/LD/321002040555490,26-02-2014,185858,13182,0,13182,0,0  ,199040,
32000044470,Enrichment of Environment,Plantation,"Goalpara, Plantation beside PWD road from Gaddani More",3201009008/DP/34040958537,08-07-2014,20280,27751.7,0,0,27751.7,0  ,48031.7,
32000044319,Improvement of Land,Renovation,Moilke Renovation of pond of Bijay Kr. Biswas & Binay Kr. Biswas under Dig G.P,3201009008/WH/203030318319,27-09-2013,241630,69496,0,69496,0,0  ,311126,
32000044623,Enrichment of Environment,Plantation,"Gholgachi, Plantation beside the road PMGSY",3201009008/DP/34040958713,08-07-2014,23322,54565.75,0,8365,46200.75,0  ,77887.75,
32000044278,Improvement of Land,Renovation,Removing of water Hyacinth at Gupia Bill at Golghachi under Dignagar G.P,3201009008/WH/203030318030,06-09-2013,48084,10128,0,10128,0,0  ,58212,
32000044696,Enrichment of Environment,Plantation,"Baliadanga Purbapara, Plantation beside PMGY Road",3201009008/DP/34040959175,08-07-2014,9126,47409.45,0,10140,37269.45,0  ,56535.45,
32000044559,Enrichment of Environment,Land Development,"Goalpara, Plantation beside the road of Gupiya Bill",3201009008/DP/34040958707,08-07-2014,11154,47789,0,10269,37520,0  ,58943,
32000044724,Enrichment of Environment,Others,"Hatisala uttar, Fruit plantation Phase I",3201009008/DP/34040960255,22-07-2014,58981,1521,0,1521,0,0  ,60502,
32000044752,Enrichment of Environment,Others,"Uttar Hatisala, Plantation in road road from Moilka",3201009008/DP/34040960325,10-07-2014,17069,760,0,760,0,0  ,17829,
32000045648,Enrichment of Environment,Others,"Kaya, Plantation on road towards Chandra",3201009008/DP/34040960363,10-07-2014,16055,640,0,0,640,0  ,16695,
32000045687,Enrichment of Environment,Plantation,"Kaya, Plantation on road towards Naduriya",3201009008/DP/34040960364,10-07-2014,14196,1280,0,0,1280,0  ,15476,
32000045740,Enrichment of Environment,Road/Canal Side Plantation,Uttar Hatisala Fruit Plantation Phase II,3201009008/DP/34040973404,20-11-2014,2028,253,0,253,0,0  ,2281,
32000045801,IAY House,Poultry Shelter,304 Con of IAY of Nitai Khatuya,3201009008/IF/34040809532,20-11-2014,15366,0,0,0,0,0  ,15366,
32000045882,Improvement of Land,Reclamation of Land,"Moilka, Land developement of the indivisual benificiary",3201009008/LD/321002040566951,28-05-2014,86264,0,0,0,0,0  ,86264,
32000045908,Improvement of Land,Reclamation of Land,Madhyam Hatisala Land Developement of the indivisual benificiary,3201009008/LD/321002040567096,20-06-2014,316684,0,0,0,0,0  ,316684,
32000045933,Improvement of Land,Development of Waste Land,"Ghoshpara, Land Developement of the indivisual beni (BPL/SC/ST) Phase II",3201009008/LD/321002040568173,22-05-2014,202376,0,0,0,0,0  ,202376,
32000045954,Improvement of Land,Reclamation of Land,"Chabighata singerpara, Land development in the indivisual beni (bpl/sc/st) phase II",3201009008/LD/321002040570528,17-07-2014,119228,28547,7000,21547,0,0  ,147775,
32000045976,Improvement of Land,Reclamation of Land,"Chabighata, Singerdanga Land Development of indivisual beni (BPL/SC/ST) Phase III",3201009008/LD/321002040571767,01-08-2014,327672,0,0,0,0,0  ,327672,
32000046065,Improvement of Land,Reclamation of Land,"Goalpara, Land Development of the indi. beni (BPL/SC/ST) Phase III",3201009008/LD/321002040571781,01-08-2014,364080,27253,3000,24253,0,0  ,391333,
32000050106,Making of Sanitation,Individual Household Latrines,Hatisala Uttar Construction of IIHL Phase VII,3201009008/RS/34040945148,22-08-2014,3549,0,0,0,0,0  ,3549,
32000050114,Making of Sanitation,Individual Household Latrines,Hatisala Uttar Construction of IIHL Phase VI,3201009008/RS/34040945144,22-08-2014,9126,18104,0,0,18104,0  ,27230,
