scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3201009008/IF/IAY/4117510,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4716206 ,19170,0,19170,0,06-07-2020,19170,0,0,0,0  ,19170,
3201009008/IF/321002041044591,27-04-2022,Cultivation of Tissue Culture Banana on the Land of Biswajit Ghosh at Baliadanga under Dignagar GP. ,65036.61,3150.88,36488,3000,26-11-2019,36488,0,0,3000,0  ,39488,
3201009008/IF/IAY/4117511,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3600149 ,19170,0,19170,0,10-06-2020,19170,0,0,0,0  ,19170,
3201009008/IF/IAY/4117617,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2549887 ,19170,0,19170,0,10-06-2020,19170,0,0,0,0  ,19170,
3201009008/IF/IAY/3375987,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2326986 ,18360,0,17544,0,04-02-2020,17544,0,0,0,0  ,17544,
3201009008/IF/IAY/4117647,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2591387 ,19170,0,19170,0,10-07-2020,19170,0,0,0,0  ,19170,
3201009008/IF/IAY/3375997,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3256551 ,18360,0,17544,0,04-02-2020,17544,0,0,0,0  ,17544,
3201009008/IF/IAY/3376003,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2322582 ,18360,0,17544,0,04-02-2020,17544,0,0,0,0  ,17544,
3201009008/IF/IAY/3723021,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4491140 ,18360,0,17340,0,03-03-2020,17340,0,0,0,0  ,17340,
3201009008/IF/IAY/3375952,11-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3283649 ,18360,0,17544,0,04-02-2020,17544,0,0,0,0  ,17544,
