scheme_code,completion_date,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003007/IF/IAY/4387745,22-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3135542 ,22-06-2022,19380,0,6936,0,27-10-2020,6936,0,0,0,0  ,6936,
3214003007/DP/PP/1037504,19-07-2022,UM Thirty forty Plantation Ajit Mudi ,19-07-2022,193884.02,48152.6,106164,1224,18-08-2020,106164,0,1224,0,0  ,107388,
3214003007/IF/IAY/4629011,22-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5540247 ,22-06-2022,19380,0,15096,0,30-08-2020,15096,0,0,0,0  ,15096,
3214003007/IF/IAY/4458618,22-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3475219 ,22-06-2022,19380,0,10608,0,30-08-2020,10608,0,0,0,0  ,10608,
3214003007/IF/PP/1037412,19-07-2022,UM Excav of Jagu Rajwar happa ,19-07-2022,206316.66,2500,180540,0,16-06-2020,180540,0,0,0,0  ,180540,
3214003007/IF/IAY/5028420,18-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5414925 ,18-07-2022,20235,0,17040,0,21-01-2022,17040,0,0,0,0  ,17040,
3214003007/IF/PP/1037410,19-07-2022,UM Excav  Shankar Mudi Happa ,19-07-2022,195694.61,2500,158205.16,0,06-09-2020,158205.16,0,0,0,0  ,158205.16,
3214003007/IF/PP/1037449,19-07-2022,UM Excav of Ghalu Mandal Happa ,19-07-2022,206316.66,2500,196599.04,0,26-05-2020,196599.04,0,0,0,0  ,196599.04,
3214003007/IF/PP/1037421,19-07-2022,UM Excav Sanjay Mandal Happa ,19-07-2022,195694.61,2500,89373,0,08-10-2020,89373,0,0,0,0  ,89373,
3214003007/DP/22012034367058,10-08-2018,"Clean Environment at school Campus Schemes(Compost pit,sok pit,BFS,LD etc at Jambad Pry.School ",10-08-2018,157680,42874,7920,2499,26-04-2017,7920,0,0,2499,0  ,10419,
3214003007/IF/IAY/4941148,22-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4676981 ,22-06-2022,20235,0,9180,0,24-09-2019,9180,0,0,0,0  ,9180,
3214003007/IF/IAY/4856285,18-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1299005 ,18-07-2022,20235,0,17040,0,21-07-2021,17040,0,0,0,0  ,17040,
3214003007/IF/IAY/4939043,04-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1426602 ,04-04-2022,20235,0,4896,0,30-12-2020,4896,0,0,0,0  ,4896,
3214003007/IF/IAY/4648239,22-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4831208 ,22-06-2022,19380,0,5712,0,28-07-2020,5712,0,0,0,0  ,5712,
3214003007/IF/IAY/4452777,07-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5614605 ,07-06-2022,19380,0,15504,0,27-10-2020,15504,0,0,0,0  ,15504,
