assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,Total Material,semiskilled,skilled,material,contingency,total,mandays
32000266813,Lalpur Baner Bandh,,Re-Excavation Of Lalpur Baner Bandh,3214003009/WC/57,05-07-2012,250226,4284,0,4284,0,0  ,254510,
32000267063,RE EXCAVATION OF RAKSHIT Bndh,Earthen Bunding,RE-EXCAVATION OF RAKSHIT BANDH,3214003009/WC/704010124911,31-10-2013,274216,13490,0,10490,3000,0  ,287706,
32000266967,SHANKAR GARAIN BANDH,Earthen Bunding,Re-excavation of Shankar Garain Bundh ,3214003009/WC/30,20-01-2011,74659,7835,0,7835,0,0  ,82494,
32000267032,BANER BANDH,Earthen Bunding,RE-EXCAVATION LALPUR BANER BAND,3214003009/WC/704010122282,05-09-2013,135117,5723,0,5723,0,0  ,140840,
32000267003,SHANKAR GARAIN BANDH,Earthen Bunding,RE-EXCAVATION OF SHANKAR GARAIN BANDH,3214003009/WC/704010123852,22-10-2013,160929,4702,0,4702,0,0  ,165631,
32000267078,saheb bandh,Earthen Bunding,RE-EXCAVATION OF SAHEB  BANDH,3214003009/WC/704010126450,06-12-2013,274936,813,0,813,0,0  ,275749,
32000267097,re excavation of banka garia,Earthen Bunding,RE-EXCAVATION BANKA GARIA,3214003009/WC/704010127100,04-12-2013,131252,3447,0,3447,0,0  ,134699,
32000267124,siju goria,Earthen Bunding,RE-EXCAVATION OF SIJU GARIA,3214003009/WC/704010127538,06-12-2013,230172,6199,0,6199,0,0  ,236371,
32000267171,Hir bandh excavation,Earthen Bunding,RE-EXCAVATION OF RAFIK HIR BANDH,3214003009/WC/704010127662,06-12-2013,215537,6138,0,6138,0,0  ,221675,
32000267111,jharna bandh,Earthen Bunding,RE-EXCAVATION OF JHARNA BANDH,3214003009/WC/704010127107,06-12-2013,424437,15638,0,15638,0,0  ,440075,
32000267208,Bhakti Mahato Bandh,Earthen Bunding,RE-EXCAVATION OF BHAKTI MAHATO BANDH,3214003009/WC/704010128366,04-12-2013,188461,9965,0,6965,3000,0  ,198426,
32000267185,Rampada Mahato bandh,Earthen Bunding,RE-EXCAVATION OF RAMPADA MAHATO BANDH,3214003009/WC/704010128077,04-12-2013,353447,14167,0,11167,3000,0  ,367614,
32000267217,Ansari Bandh re excavation,Earthen Bunding,RE-EXCAVATION OF ANSARI BANDH,3214003009/WC/704010128429,19-12-2013,249639,8833,0,8833,0,0  ,258472,
32000267227,RE EXCAVATION OF RAJAK BANDH,Earthen Bunding,RE-EXCAVATION OF RAJAK BANDH,3214003009/WC/704010128988,19-12-2013,261716,16899,0,16899,0,0  ,278615,
32000267196,Hir bandh excavation,Earthen Bunding,RE-EXCAVATION OF NATUN HIR BANDH,3214003009/WC/704010128360,04-12-2013,228328,6196,0,6196,0,0  ,234524,
32000267241,BALARAM MAHATO BANDH,Earthen Bunding,RE-EXCAVATION OF BALARAM MAHATO BANDH,3214003009/WC/704010129975,19-12-2013,299505,7248,0,7248,0,0  ,306753,
32000267329,RE EXCAVATION OF KHAIRA BANDH,Earthen Bunding,RE-EXCAVATION OF KHAIRA BANDH,3214003009/WC/704010149863,04-03-2014,422830,8802,1521,7281,0,0  ,431632,
32000267278,RE EXCAVATION OF PENDRA BANDH,Earthen Bunding,RE-EXCAVATION OF PENRA BAND ,3214003009/WC/704010139735,28-01-2014,0,0,0,0,0,0  ,0,
32000267291,RE EXCAVATION OF ASHURGORIA BANDH,Earthen Bunding,RE-EXCAVATION OF ASHURGORIA BANDH,3214003009/WC/704010149587,04-03-2014,282502,8016,2028,2988,3000,0  ,290518,
32000269680,re excavation of mudi goria,Earthen Bunding,RE-EXCAVATION OF ARUN MUDI GORIA,3214003009/WC/704010151440,31-10-2013,290671,7674,1141,3733,2800,0  ,298345,
32000269689,RE EXCAVATION OF NEEM GORIA,Earthen Bunding,RE-EXCAVATION OF NEEM GORIA,3214003009/WC/704010163263,28-05-2014,89244,0,0,0,0,0  ,89244,
32000267138,karna bandh,Earthen Bunding,RE-EXCAVATION OF KARNA BANDH,3214003009/WC/704010127631,06-12-2013,229348,5648,0,5648,0,0  ,234996,
32000267255,BANDH SABAR RE EXCAVATION,Earthen Bunding,RE-EXCAVATION OF BANER BANDH SABAR,3214003009/WC/704010132067,03-01-2014,282166,10401,0,10401,0,0  ,292567,
32000269696,RE EXCAVATION OF HAZARI BANDH,Sunken Pond,RE-EXCAVATION OF HAZARI BANDH,3214003009/WC/704010163265,28-05-2014,174093,4812,0,4812,0,0  ,178905,
32000269704,RE EXCAVATION OF MUDI GORIA,Earthen Bunding,RE-EXCAVATION OF SUBHAS MUDI GORIA,3214003009/WC/704010163268,28-05-2014,65515,760,0,760,0,0  ,66275,
32000269735,RE EXCAVATION OF DULAL CHANDRA HEMBRAM BANDH,Earthen Bunding,Re-excavation of Dulal Ch. Hembram Goria,3214003009/WC/704010164845,05-06-2014,93781,1764,0,1764,0,0  ,95545,
32000270013,RE EXCAVATION OF LANKESWAR BANDH,Sunken Pond,Re-excavation of Lankeswar Bandh,3214003009/WC/704010164849,05-06-2014,155526,2192,0,2192,0,0  ,157718,
32000269724,RE EXCAVATION OF NAGEN SAREN BANDH,Earthen Bunding,RE-EXCAVATION OF NAGEN SAREN BANDH,3214003009/WC/704010163842,28-05-2014,189497,2641,0,2641,0,0  ,192138,
32000269711,RE EXCAVATION OF FAKIR BANDH,Earthen Bunding,RE-EXCAVATION OF FAKIR MUDI GORIA,3214003009/WC/704010163569,28-05-2014,84641,0,0,0,0,0  ,84641,
32000270065,RE EXCAVATION OF BAN GORIA BANDH,Earthen Bunding,Re-excavation of Ban Goria,3214003009/WC/704010164852,05-06-2014,91358,0,0,0,0,0  ,91358,
32000270101,RE EXCAVATION OF BHANIR BANDH,Earthen Bunding,Re-excavation of Bhanir Bandh,3214003009/WC/704010164855,05-06-2014,183213,1303,0,1303,0,0  ,184516,
32000270114,RE EXCAVATION OF SAHADEV GARAIN BANDH,Earthen Bunding,Re-excavation of Sahadeb Garain Bandh,3214003009/WC/704010165673,12-06-2014,162078,2921,0,2921,0,0  ,164999,
32000270158,RE EXCAVATION OF NITAI MAHATO BANDH,Earthen Bunding,Re-excavation of Nitai Mahato Bandh,3214003009/WC/704010166666,17-06-2014,179460,0,0,0,0,0  ,179460,
32000270179,RE EXCAVATION OF BHAKTI MAHATO BANDH,Sunken Pond,Re-exavation of Bhakti Mahato Bandh,3214003009/WC/704010166669,17-06-2014,186810,1159,0,1159,0,0  ,187969,
32000270131,RE EXCAVATION OF SADHUBABAR GORIA ,Earthen Bunding,Re-excavation of Sadhubabar Goria,3214003009/WC/704010165674,12-06-2014,92923,0,0,0,0,0  ,92923,
32000419696,Lalpur Village Road,Earthern road,Imp.of Lalpur Village Road,3214003009/RC/12,20-02-2009,129534,0,0,0,0,0  ,129534,
32000419704,Land Leveling at Jabjabigora,Land Leveling,Land Leveling at Jabjabigora ,3214003009/LD/005,27-02-2008,83843,0,0,0,0,0  ,83843,
32000270190,RE EXCAVATION OF SUBHAS MAHATO BANDH BANDH,Sunken Pond,Re-excavation of Subhas Mahato Bandh,3214003009/WC/704010169826,17-07-2014,156668,522,0,522,0,0  ,157190,
32000270147,RE EXCAVATION OF ISRAIL ANSARY BANDH,Earthen Bunding,Re-excavation of Israil Ansari Bandh,3214003009/WC/704010165675,12-06-2014,187317,5340,0,5340,0,0  ,192657,
32000419731,Lalpur Village Road,Sand Moram,imp.of lalpur village road sno-xii,3214003009/RC/205,17-02-2009,15231,43487,0,0,43487,0  ,58718,
32000270083,RE EXCAVATION OF NATUN BANDH OF GANESH KAREMAKAR ,Earthen Bunding,Re-excavation of Natun Bandh of Ganesh Karmakar,3214003009/WC/704010164853,05-06-2014,93046,2129,0,2129,0,0  ,95175,
32000419745,Ghosh Bandh,Construction of Fisheries Ponds for Community,Re-excavation of ghosh Bundh at Jabjabigora ,3214003009/WC/10,26-02-2010,173432,8184,8184,0,0,0  ,181616,
32000419771,Rakshit bandh,Desilting,Re- excavation of Rakshit Bundh at Jabjabigora ,3214003009/WH/003,27-02-2008,229974.5,13176,0,0,13176,0  ,243150.5,
32000419780,Jabjabigora Mandal Bandh,Earthen Bunding,Re-excavation of Jabjabigora Mandal Bundh,3214003009/WC/31,25-01-2011,0,6305,0,3819,2486,0  ,6305,
32000419759,Lalpur Baner Bandh,Desilting,Re-excavation of Lalpur Bundh at Lalpur,3214003009/WH/001,27-02-2008,125869,0,0,0,0,0  ,125869,
32000419812,Kashigoria Bandh,Earthen Bunding,Re-Excavation of Kashigoria Bundh ,3214003009/WC/34,09-11-2011,18230,4815,0,4815,0,0  ,23045,
32000419795,Land Leveling at jabjabigora,Land Leveling,Land Leveling at Jabjabigora,3214003009/LD/14,24-08-2011,126985,5282,0,5282,0,0  ,132267,
32000419807,Ashur Goria Bandh,Earthen Bunding,Re-Excavation of Ashur Goria Bundh ,3214003009/WC/43,25-01-2012,17206,1012,0,1012,0,0  ,18218,
32000419737,Lalpur Village Road,WBM,3214003009/RC/206,3214003009/RC/206,17-02-2009,0,47344,0,0,47344,0  ,47344,
32000419820,Rakshit Bandh,Earthen Bunding,Re-excavation of Rakshit Bundh at Jabjabigora ,3214003009/WC/39,25-01-2012,291377,23931,8399,13032,2500,0  ,315308,
32000419904,Mandal Bandh,Renovation of Fisheries Ponds for Community,re-excavation of mandal bandh ,3214003009/WH/13,03-07-2009,154976,0,0,0,0,0  ,154976,
32000419873,Bijoy Mudi Hapa,Farm Pond,EXCAVATION OF BIJAY MUDI HAPPA,3214003009/IF/34040759123,17-07-2014,41100,0,0,0,0,0  ,41100,
32000419912,Madrasa Bandh,Construction of Fisheries Ponds for Community,Re-Excavation of Madarasha Bundh at Manguria ,3214003009/WC/27,26-02-2010,26291,5499,0,5499,0,0  ,31790,
32000419940,Bura Bandh,Earthen Bunding,Re-excavation of Bura Bundh ,3214003009/WC/42,19-12-2011,97938,5265,0,5265,0,0  ,103203,
32000419895,kamalia bandh at Manguria,Desilting,Re-excavation of Kamalia Bundh at Manguria ,3214003009/WH/002,27-02-2008,43503,0,0,0,0,0  ,43503,
32000419883,Paharmura to Narapara road,Earthern road,Imp.Of Road Paharmura To Narapara ,3214003009/RC/14,20-02-2010,194287,92598,634,6064,85900,0  ,286885,
32000419831,Jabjabigora Village Road,WBM,Imp.Of Jabjabigora Village Road,3214003009/RC/28,11-04-2012,15408,9588,0,9588,0,0  ,24996,
32000419843,Jabjabigora pry. school to Kharban road,WBM,Imp.of Road from Jabjabigora Pry School to Kharbandanga,3214003009/RC/34,11-01-2013,105603,5712,0,5712,0,0  ,111315,
32000419858,Harimandir to Jabjabigora Pry. school road,WBM,IMP.OF ROAD FROM HARIMANDIR TO JABJABIGORA PRY-SCHOOL,3214003009/RC/320201060138840,05-09-2013,95677,55644.04,4400,8366,42878.04,0  ,151321.04,
32000419992,Manguria Narapara to Raherdih Belbangla road,Earthern road,Imp. of Mangura Narapara to Raherdih Belabangla road,3214003009/RC/15,03-07-2009,66544,0,0,0,0,0  ,66544,
32000419723,Land Leveling at Lalpur,Land Leveling,Land Leveling at Lalpur ,3214003009/LD/006,27-02-2008,47211,0,0,0,0,0  ,47211,
32000420525,Ruhidas Hapa at Pratappur,Excavation,Excavation of Ruhidas Happa at Pratappur ,3214003009/WC/16,18-02-2010,16231,0,0,0,0,0  ,16231,
32000420536,Pratappur to Hirdang Road,Earthern road,Imp.of Road From Pratappur to Hirdang Raod,3214003009/RC/11,05-03-2009,30722,0,0,0,0,0  ,30722,
32000419978,Pahargora via Rangonigora to Chiragora Road,WBM,IMP.OF ROAD PAHARGORA VIA RANGANIGORA TO CHIRAGORA,3214003009/RC/320201060176303,06-08-2013,0,3000,0,0,3000,0  ,3000,
