scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003009/IF/IAY/2655952,17-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5778913 ,19380,0,3056,0,24-09-2019,3056,0,0,0,0  ,3056,
3214003009/IF/IAY/2907411,06-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2041744 ,19380,0,12640,0,10-10-2019,12640,0,0,0,0  ,12640,
3214003009/IF/IAY/2907669,17-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5027589 ,19380,0,2674,0,10-10-2019,2674,0,0,0,0  ,2674,
3214003009/IF/IAY/3744376,04-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3971972 ,19380,0,16932,0,10-10-2019,16932,0,0,0,0  ,16932,
3214003009/IF/IAY/4192309,05-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3002665 ,19380,0,19659,0,07-07-2020,19659,0,0,0,0  ,19659,
3214003009/IF/IAY/3744352,04-04-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2591643 ,19380,0,13056,0,26-02-2020,13056,0,0,0,0  ,13056,
3214003009/IF/IAY/4192314,29-09-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1343694 ,19380,0,19515,0,07-07-2020,19515,0,0,0,0  ,19515,
3214003009/IF/IAY/4192288,03-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3167104 ,19380,0,19380,0,15-06-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/4192303,20-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5524871 ,19380,0,19380,0,15-06-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/4192295,25-10-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4469067 ,19380,0,19803,0,07-07-2020,19803,0,0,0,0  ,19803,
3214003009/IF/IAY/430180,01-10-2018,Construction of IAY House -IAY REG. NO. WB-14-003-009-001/5600 ,16530,0,18145,0,27-11-2015,18145,0,0,0,0  ,18145,
3214003009/IF/IAY/4192292,03-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5499528 ,19380,0,19380,0,05-06-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/2063016,27-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5641308 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2655734,20-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5495357 ,19380,0,18652,0,24-09-2019,18652,0,0,0,0  ,18652,
