scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
(3211010006/IF/IAY/4530958),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4395991 ,12/07/2022 ,18360 ,0 ,19170 ,0 ,20/06/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4522304),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2568956 ,17/06/2022 ,18360 ,0 ,19170 ,0 ,04/08/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4528352),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3787508 ,17/06/2022 ,18360 ,0 ,19170 ,0 ,20/06/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4529830),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2568941 ,17/06/2022 ,18360 ,0 ,19170 ,0 ,24/05/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4528978),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4388675 ,12/07/2022 ,18360 ,0 ,19170 ,0 ,04/08/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4531035),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2568978 ,17/06/2022 ,18360 ,0 ,19170 ,0 ,20/06/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4531257),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3777511 ,17/06/2022 ,18360 ,0 ,19170 ,0 ,02/06/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4531323),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4299330 ,12/07/2022 ,18360 ,0 ,19170 ,0 ,04/08/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4529425),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4304069 ,12/07/2022 ,18360 ,0 ,19170 ,0 ,27/05/2020,19170,0,0,0,0  ,19170,
(3211010006/IF/IAY/4856167),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3982823 ,12/07/2022 ,19170 ,0 ,19170 ,0 ,16/08/2021,19170,0,0,0,0  ,19170,
