assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,Total Material,semiskilled,skilled,material,contingency,total,mandays
32000014256,road,Earthern road,CONSTRUCTION OF BAMBOO PILLING WORK OF SIDE ROAD FROM DWIJENDRANAGAR  ANGANWADI SCHOOL TO IDGAHA ,3201009012/RC/320201060286687,14-12-2015,92668,43198,696,5742,36760,0  ,135866,
32000014268,road,WBM,CONSTRUCTION OF BRICK FLAT SOLING ROAD WITH EARTHWORK FROM H/O AJIT MAL TO THE H/O JULFIKAR MONDAL ,3201009012/RC/320201060308009,07-01-2016,6090,55912.3,1566,261,54085.3,0  ,62002.3,
32000043846,road,Earthern road,CONSTRUCTION OF EARTHEN ROAD FROM H/O SANJIT SK TOWARDS H/O BHULU SK AT UTTAR AMGHATA,3201009012/RC/320201060268619,09-11-2015,331439,18498,0,17748,750,0  ,349937,
32000043900,raod ,Earthern road,EARTH WORK AND JHAMA BATS FROM TULO MILL TOWARDS TELEPUKUR,3201009012/RC/320201060278090,23-12-2015,258272,30915,0,16965,13950,0  ,289187,
32000043975,road,Earthern road,REPAIRING OF JHAMA BATS ROAD WITH EARTHWORK FROM HOUSE OF DINABANDHU BISWAS TO THE HOUSE OF CHITTA B,3201009012/RC/320201060265944,09-07-2015,35322,6579,2436,3393,750,0  ,41901,
32000044041,road,Earthern road,EARTHEN ROAD FROM EARTHEN ROAD TOWARDS HOUSE OF GOUTAM BISWAS AT BISWSAPARA ,3201009012/RC/320201060272303,30-11-2015,313130,32898,0,17748,15150,0  ,346028,
32000044065,road,Earthern road,CONSTRUCTION OF EARTHEN ROAD WITH EARTH WORK FROM HOUSE OF KASEM SK TO THE HOUSE OF FAJLU SK AT UTTA,3201009012/RC/320201060277887,30-11-2015,235340,14844,0,14094,750,0  ,250184,
32000043931,raod,Earthern road,Constructon of Earthen road from the Ghasighata Ghat to RLI Pamp at Biswaspara.,3201009012/RC/320201060258490,26-05-2015,86530,6231,0,5481,750,0  ,92761,
32000043954,road,Earthern road,REPAIRING ROAD WITH EARTHWORK FROM IDGHA TOWARDS HOUSE OF BHULU SK AT UTTAR AMGHATA ,3201009012/RC/320201060260751,30-06-2015,136956,4185,0,2610,1575,0  ,141141,
32000043998,raod,Gravel Road,IMPROVEMENT OF EARTHEN SHOULDER FROM THE H/O AJIT GHOSH TO THE L/O DINABANDHU GHOSH AT PURATAN SAMBH,3201009012/RC/320201060281252,23-12-2015,120228,11658,0,7308,4350,0  ,131886,
32000044139,road,Earthern road,CONSTRUCTION OF EARTHEN ROAD FROM PMGSY TO NIRANJAN BISWAS AT BISWASPARA ,3201009012/RC/320201060266321,09-07-2015,162825,7797,0,7047,750,0  ,170622,
32000044086,road,Earthern road,CONSTRUCTION OF EARTHEN ROAD FROM THE H/OANIL SIKDER TO THE H/O BIJAN BISWAS AT COMMUNITYHALL ,3201009012/RC/320201060278177,10-12-2015,152203,10146,0,9396,750,0  ,162349,
32000044164,road,Earthern road,CONSTRUCTION OF EARTHEN ROAD AT HORTICULTURE (PHASE-1),3201009012/RC/320201060262513,09-07-2015,282330,31593,0,16443,15150,0  ,313923,
