scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3201009012/IF/321002040995972,05-04-2022,EXCAVATION OF FARM POND AT THE LAND OF LAXMIKANTA BISWAS AT USHIDPUR ,1926027.44,3500,971546,7011,02-02-2020,971546,0,4011,3000,0  ,978557,
3201009012/IF/IAY/4436334,02-05-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5002054 ,18360,0,18360,0,06-10-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4493316,11-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4649468 ,18360,0,18360,0,26-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4583533,19-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3634984 ,19170,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116668,11-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4112970 ,18360,0,18360,0,24-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4583532,04-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3626513 ,19170,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4583529,19-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3613452 ,19170,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4583530,19-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3613464 ,19170,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4583531,19-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3626486 ,19170,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4583528,19-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3548055 ,19170,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116465,06-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2774485 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4403677,11-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3226288 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4583527,29-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3504641 ,19170,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4117417,25-07-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5004872 ,19170,0,18360,0,07-08-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4410816,11-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3317213 ,19170,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116500,28-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2889635 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116691,27-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3619125 ,18360,0,18360,0,24-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116710,13-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3791111 ,18360,0,18360,0,26-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116662,30-09-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2899572 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/1338100,31-05-2018,Construction of IAY House -IAY REG. NO. WB2169602 ,16200,0,15840,0,12-03-2017,15840,0,0,0,0  ,15840,
3201009012/IF/IAY/4116801,13-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2774991 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116687,16-09-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3267926 ,19170,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116726,13-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3639610 ,18360,0,18360,0,26-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116804,16-09-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3637296 ,18360,0,18360,0,26-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/3243695,28-09-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5134115 ,18360,0,17190,0,28-11-2019,17190,0,0,0,0  ,17190,
3201009012/IF/IAY/4116797,16-09-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4949668 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/1345083,31-05-2018,Construction of IAY House -IAY REG. NO. WB1385698 ,16200,0,15840,0,23-02-2017,15840,0,0,0,0  ,15840,
3201009012/IF/IAY/4117657,05-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4906248 ,18360,0,18360,0,30-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/1424637,02-06-2018,Construction of IAY House -IAY REG. NO. WB1568760 ,16200,0,16200,0,07-08-2017,16200,0,0,0,0  ,16200,
3201009012/RS/34041025326,27-07-2018,PREPARING OF GARBAGE PIT AT GANGABASH (13 NOS BENEFICIARY)  ,20064,2820,16848,1056,17-01-2017,16848,0,1056,0,0  ,17904,
3201009012/RS/34041074133,12-02-2019,CONSTDUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND SAKILA BIBI AT SHYAM ,720,0,720,0,26-10-2017,720,0,0,0,0  ,720,
3201009012/WH/203030417593,31-07-2018,RE-EXCAVATION PF ALOKAR BILL AT GANGABASG ( 14/25/16-17) ,145904,16012,78390,6336,15-07-2016,78390,0,6336,0,0  ,84726,
3201009012/WH/203030415579,27-07-2018,RE-EXCAVATION OF CANEL FROM SLUSIS GATE TOWARDS GOLAIDARI AT DWIJENDRANAGAR  ,355696,29884,135040,12576,08-06-2016,135040,0,8976,3600,0  ,147616,
3201009012/WH/203030415281,27-07-2018,RE - EXCAVATION OF PIRTALA KHAL AT UTTAR AMGHATA  ,366784,31012,352241,28176,08-06-2016,352241,0,22176,6000,0  ,380417,
3201009012/IF/IAY/960340,31-07-2018,Construction of IAY House -IAY REG. NO. WB1482643 ,15840,0,15888,0,20-01-2017,15888,0,0,0,0  ,15888,
3201009012/IF/IAY/2085516,07-03-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2986406 ,17190,0,17091,0,24-01-2018,17091,0,0,0,0  ,17091,
3201009012/RS/34041075737,04-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND HASINA BIBI AT SHYAM ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/RS/34041075731,04-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND HABIRAN BEWA AT  ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/IF/IAY/4116725,28-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2541777 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/RS/34041073720,04-02-2019,CONSTDUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND SHYAMALI DAS AT BRAH ,720,0,720,0,26-10-2017,720,0,0,0,0  ,720,
3201009012/RS/34041075741,12-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND HASINA BIBI AT UTTAR ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/RS/34041075736,01-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND HASINA BIBI AT USHID ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/IF/IAY/4116711,05-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4916545 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/IF/IAY/4116715,13-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4947486 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/RS/34041075730,04-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND GOLE BIBI AT SHYAMNA ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/RS/34041075725,12-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND FAKIR SK AT UTTAR  ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/RS/34041075733,01-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND HAMIDUN BIBI AT  ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/IF/IAY/4116713,13-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3103039 ,18360,0,18360,0,10-06-2020,18360,0,0,0,0  ,18360,
3201009012/RS/34041075732,04-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND HAMEDA BIBI AT BRAHM ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
3201009012/RS/34041075721,04-02-2019,CONSTRUCTION OF LIQUIED SOILD WASTE MANAGEMENT SYSTEM PMAY BUILDING AT THE LAND EHINA BIBI AT SHYAMN ,720,0,720,0,17-10-2017,720,0,0,0,0  ,720,
