assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,semiskilled,skilled,material,contingency,total,mandays
32000161686,Roard,Sand Moram,Naricha club to Koleypara via Raghunath Ghosh kal road,3213010/RC/320201060142552,13-01-2014,24009,4228,4530,143279,0  ,176046,
32000161686,Roard,Cement Concrete,Protection wall of Danna Dighi along the road,3213010/RC/320201060142552,10-02-2014,43235,46508,2491.5,262286.9,0  ,354521.4,
32000161722,Danna Dighi,Renovation,Re-excavation of Danna Dighi,3213010/WH/203030315324,05-12-2013,3958723,0,151286,0,0  ,4110009,
32000441811,Re-excavation of Patit Kanthal Gore.,Desilting,Re-excavation of Patit Kanthal Gore Pukur.Mouza- Patit Dommahal,3213010005/WH/203030308981,26-12-2013,243488,0,7330,12870,0  ,263688,
32000485602,Biur Kayla Gore.,Desilting,Re-excavation of Biur Kayla Gore.Mouza- Biur,3213010005/WH/203030308954,28-02-2014,312741,0,9371,10470,0  ,332582,
32000485682,Telur Kayet Gore.,Desilting,Re-excavation of Telur Kayet Gore Pukur.Mouza-Biur,3213010005/WH/203030308660,22-01-2014,115740,0,3047,7395,0  ,126182,
32000485758,Basudebpur Madar Gore.,Desilting,Re-excavation of Basudebpur Madar Gore Pukur.Mouza-Ratnapur,3213010005/WH/203030308666,22-01-2014,201014.2,0,6120,31410,0  ,238544.2,
32000485613,Danna Dilmidi Pukur.,Desilting,Re-excavation of Danna Dilmidi Pukur.Mouza-Danna,3213010005/WH/203030308977,30-01-2014,196929,0,5975,12860,0  ,215764,
32000485772,Alipur Gore Pukur.,Desilting,Re-excavation of Alipur Gore Pukur.Mouza-Alipur,3213010005/WH/203030308663,06-01-2014,162568,302,5096,8562,0  ,176528,
32000485690,Telur Tentul Pukur.,Desilting,Re-excavation of Telur Tentul Pukur.Mouza-Biur,3213010005/WH/203030308661,22-01-2014,205856,0,5689,7395,0  ,218940,
32000485802,Naldanga Shimul Pukur.,Desilting,Re-excavation of Naldanga Shimul Pukur Mouza Purbo Naldanga,3213010005/WH/203030308935,30-01-2014,275944,0,7144,6895,0  ,289983,
32000485813,Bartala Tubki Gore Pukur.,Desilting,Re-excavation of Bartala Tubki Gore Pukur.Mouza-Al,3213010005/WH/203030308937,03-12-2013,265889,302,8228,12048,0  ,286467,
32000485838,Alipur Dosimla Pukur.,Desilting,Re-excavation of Alipur Dosimla Pukur.Mouza-Alipur,3213010005/WH/203030308975,03-12-2013,311615,0,9344,4220,0  ,325179,
32000485845,Patit Tenteri Pukur.,Desilting,Re-excavation of Patit Tenteri Pukur.Mouza- Patit Dommahal,3213010005/WH/203030308951,30-01-2014,281704,0,6311,10895,0  ,298910,
32000485744,Telur Bedfelani Pukur.,Desilting,Re-excavation of Telur Bedfelani Pukur.Mouza-Biur,3213010005/WH/203030308936,22-01-2014,231840,0,4609,7395,0  ,243844,
32000485861,Shyamsundarpur Dhoba Pukur.,Desilting,Re-excavation of Shyamsundarpur Dhoba Pukur.Mouza-Shyamsudarpur,3213010005/WH/203030308972,30-01-2014,188097,0,5641,9295,0  ,203033,
32000485989,Betur Murule Pukur.,Desilting,Re-excavation of Betur Murule Pukur.Mouza-Betur,3213010005/WH/203030308971,25-11-2013,316515,0,8512,10470,0  ,335497,
32000485931,Betur Chandari Pukur.,Desilting, Betur Chandari Pukur.Mouza-Betur,3213010005/WH/203030308824,25-11-2013,398796,302,12210,10470,0  ,421778,
32000485818,Tajchak Dewan Gore.,Desilting,Re-excavation of Tajchak Dewan Gore.Mouza-Ratnapur,3213010005/WH/203030308967,30-01-2014,188054,0,5651,6895,0  ,200600,
32000485850,Patit Jamunasayer Pukur.,Desilting,Re-excavation of Patit Jamunasayer Pukur.Mouza-Patit Dommahal,3213010005/WH/203030308973,30-01-2014,296580,0,8894,6895,0  ,312369,
32000485913,Swarupchak Baro Pukur.,Desilting,Re-excavation of Swarupchak Baro Pukur.Mouza-Alipur,3213010005/WH/203030308964,12-02-2014,459156,0,12573,10470,0  ,482199,
32000485946,Betur Goyla Hedo Puku.,Desilting,Re-excavation of Betur Goyla Hedo Pukur.Mouza-Betur,3213010005/WH/203030308955,11-12-2013,276639,302,5342,28590,0  ,310873,
32000486152,Danna Pacha Gore.,Desilting,Re-excavation of Danna Pacha Gore.,3213010005/WH/203030336554,30-05-2014,300820,0,11368,11030,0  ,323218,
32000485871,Betur Sasthi Pukur.,Desilting,Re-excavation of Betur Sasthi Pukur.Mouza-Betur,3213010005/WH/203030309139,11-12-2013,334466,0,8819,7140,0  ,350425,
32000486145,Konnagar Paduri Pukur.,Desilting,Re-excavation of Konnagar Paduri Pukur.,3213010005/WH/203030337267,12-05-2014,213590,0,8007,9830,0  ,231427,
32000499009,Lalbandh Dom Gore Pukur.,Excavation,Re-excavation of Lalbandh Dom Gore Pukur.Mouza-Lalbandh,3213010005/WH/203030308957,25-11-2013,138808,0,4158,0,0  ,142966,
32000499294,irrigation Channel at Telur Sansad.,Lift Irrigation,Re-excavation of irrigation Channel at Telur Sansad.Mouza-Biur,3213010005/IC/130717706825,06-09-2013,89497,0,3058,0,0  ,92555,
32000498993,Basudebpur Dutta Pukur.,Desilting,Re-excavation of Basudebpur Dutta Pukur.Mouza-Ratnapur,3213010005/WH/203030308948,26-12-2013,240734,0,7221,11150,0  ,259105,
32000501530,Biur Mallickpara Bus Stop to Masud Mallick House.,Sand Moram,Imp. of Moorum Rd. from Biur Mallickpara Bus Stop to Masud Mallick House.Mouza-Biur,3213010005/RC/320201060124176,18-02-2014,11778,1812,1812,134199,0  ,149601,
32000501538,Betur Baro Kalitala to Chandari via Napitpara.,Sand Moram,Imp. of Earthen&Moorum Rd. from Betur Baro Kalitala to Chandari via Napitpara.Mouza-Betur,3213010005/RC/320201060124177,06-11-2013,235398,0,7060,4820,0  ,247278,
32000499385,Irrigation Channel at Basudebpur Sansad.,Lift Irrigation,Re-excavation of irrigation Channel at Basudebpur Sansad.Mouza-Ratnapur,3213010005/IC/130717706828,12-08-2013,91470,0,3079,4200,0  ,98749,
32000501677,Bhutura Baripara to Bouro Pukur via Main Rd.,Sand Moram,Imp. of Moorum Rd. from Bhutura Baripara to Bouro Pukur via Main Rd..Mouza-Bhutura,3213010005/RC/320201060124188,26-12-2013,257423,0,5609,2800,0  ,265832,
32000504241,Danna Dhobari to Panar Pukur.,Earthern road,Imp. of Earthen Moorum Rd. from Danna Dhobari to Panar Pukur.Mouza-Danna,3213010005/RC/320201060124368,29-11-2013,286401,0,8580,4820,0  ,299801,
32000504315,Moorum Rd. from Bankura Raytala to Layekpara.,Sand Moram,Imp. of Earthen & Moorum Rd. from Bankura Raytala to Layekpara.Mouza-Danna,3213010005/RC/320201060124388,21-02-2014,43337,6644,6345,491625,0  ,547951,
32000501549,Bhutura Bostompara to Bagdipara via Tapara.,Sand Moram,Imp. of Moorum Rd. from Bhutura Bostompara to Bagdipara via Tapara.Mouza-Bhutura,3213010005/RC/320201060124178,18-02-2014,16912,3020,2944.5,203600,0  ,226476.5,
32000504269,Moorum Rd. at Patit High Sansad.,Sand Moram,Imp. of Different Moorum Rd. at Patit High Sansad.Mouza-Patit Dommahal,3213010005/RC/320201060124376,26-02-2014,16459,0,2793,317894,0  ,337146,
32000504898,irrigation Channel at Lalbandh Sansad.,Lift Irrigation,Re-excavation of irrigation Channel at Lalbandh Sa,3213010005/IC/130717721151,04-07-2014,118222,0,4436,2400,0  ,125058,
32000486137,Biur Roy Gore.,Desilting,Re-excavation of Biur Roy Gore.Mouza-Biur,3213010005/WH/203030308970,26-12-2013,208196,0,6245,16470,0  ,230911,
32000517618,Telur Gore Pukur.,,Re-excavation of Telur Gore Pukur.Mouza-Biur,3213010005/WH/IF/43,12-02-2013,139111,0,3692,5700,0  ,148503,
32000517718,Lalbandh Canel to Fungipra.,,Imp. of Moorum Rd. from Lalbandh Canel to Fungipra.Mouza- Purbo Naldanga,3213010005/RC/220,18-10-2012,5304,0,0,31543.41,0  ,36847.41,
32000498973,Alipur Dubro Gore.,Desilting,Re-excavation of Alipur Dubro Gore Pukur.Mouza-Alipur ,3213010005/WH/203030308664,03-12-2013,261230,302,8062,9848,0  ,279442,
32000517635,Telur Uttarpara Bhager Gore Pukur.,,Re-excavation of Telur Uttarpara Bhager Gore Pukur.Mouza-Biur,3213010005/WH/IF/44,24-01-2013,76821,0,2330,5700,0  ,84851,
32000517746,Kulu Pukur to Ratnapur Mouza End sima via Sishusikha centre.,,Imp. of Earthen & Moorum Rd. from Kulu Pukur to Ratnapur Mouza End sima via Sishusikha centre.,3213010005/RC/224,09-07-2012,0,0,0,169699.5,0  ,169699.5,
32000517568,Telur Munchi Tal Pukur.,Desilting,Re-excavation of Telur Munchi Tal Pukur.,3213010005/WH/836,14-03-2013,416024,0,0,0,0  ,416024,
32000517815,Kumrul Stn. to Rakhsitpara(Phase-II).,,imp. of Moorum Rd. from Kumrul Stn. to Rakhsitpara(Phase-II).Mouza-Biur,3213010005/RC/227/2,25-06-2012,29414,3264,3182,166849.4,0  ,202709.4,
32000486129,Biur Amragore Pukur.,Desilting,Re-excavation of Biur Amragore Pukur.Mouza-Biur,3213010005/WH/203030308658,19-12-2013,303827,0,9112,16070,0  ,329009,
32000517765,Kumrul Stn. to Rakhsitpara(Phase-I).,,Imp. of Moorum Rd. from Kumrul Stn. to Rakhsitpara(Phase-I). Mouza-Biur,3213010005/RC/227/1,21-05-2012,0,0,0,282199.99,0  ,282199.99,
32000486114,Grambera Sunri Gore.,Desilting,Re-excavation of Grambera Sunri Gore.Mouza-Ratnapur,3213010005/WH/203030308978,22-01-2014,210275,0,5480,26770,0  ,242525,
32000517594,Telur Dakhinpara Bhager Gore Pukur.,,Re-excavation of Telur Dakhinpara Bhager Gore Pukur.Mouza-Biur,3213010005/WH/IF/42,24-01-2013,178132,0,0,5700,0  ,183832,
32000718923,Social Forestry Betur(South) Sansad,0,Re-excavation of irrigation Channel at Betur (South) Sansad.,3213010005/IC/130717732214,28-08-2015,176945,0,6532,3600,0  ,187077,
32000517883,Biur Saiyadpur to Kabardanga(Phase-II).,,Imp. Earthen & Moorum Rd. from Biur Saiyadpur to Kabardanga(Phase-II).Mouza-Biur,3213010005/RC/241/2,09-07-2012,816,544,408,110899.7,0  ,112667.7,
32000518015,Irrigation Channel at Lalbandh Sansad.,0,Re-excavation of irrigation Channel at Lalbandh Sansad.,3213010005/IC/130717732216,26-08-2015,78391,0,2940,3000,0  ,84331,
32000517905,irrigation Channel at Biur Sansad.,0,Re-excavation of irrigation Channel at Biur Sansad .,3213010005/IC/130717732212,26-08-2015,90000,0,3374,3600,0  ,96974,
32000726353,Irrigation Channel at Biur Sansad,"Construction of Canal, Distributary and Minor",Re-excavation of Irrigation Channals at Biur Sansad.Mouza-Biur,3213010005/IC/19,22-06-2011,187442,0,3432,0,0  ,190874,
32000718977,Irrigation Channel at Alipur Sansad,"Construction of Canal, Distributary and Minor","Re-excavation of Irrigation Chanel at ALIPUR Sansad, Mouza-Alipur",3213010005/IC/14,05-10-2010,79891,400,1950,12238,0  ,94479,
32000726433,Irrigation Channel at Betur Sansad,Lift Irrigation,Re-excavation of irrigation channel at Betur Sansad.,3213010005/IC/20,22-06-2011,108768,0,4120,4588,0  ,117476,
32000726576,Irrigation Channel at Bhutura Sansad,Renovation of minor Canal for Community,Re-excavation of irrigation Channel at Bhutura Sansad.,3213010005/IC/26,23-06-2016,167712,1050,5775,0,0  ,174537,
32000726576,Irrigation Channel at Bhutura Sansad,Lift Irrigation,Re-excavation of irrigation Channel at BHUTURA Sansad.,3213010005/IC/26,05-07-2011,79672,0,2730,3088,0  ,85490,
32000726545,Irrigation Channel at Alipur Sansad,Lift Irrigation,Re-excavation of Irrigation Channel at ALIPUR Sansad.,3213010005/IC/25,05-07-2011,161666,0,4680,3588,0  ,169934,
32000726518,Irrigation Channel at Naldanga Sansad,Lift Irrigation,Re-excavation of Irrigation Channel at NALDANGA Sansad.,3213010005/IC/24,05-07-2011,51408,0,1170,8168,0  ,60746,
32000726822,Betur Naransayer to Napitpara Balai Roy House,"Construction of Canal, Distributary and Minor",Const. of irrigation Drain from Betur Naransayer to Napitpara Balai Ray house.Mouza-Betur,3213010005/IC/30,23-02-2012,130,18720,1560,0,0  ,20410,
32000726723,Irrigation Channel at Patit Pry.Sansad,Lift Irrigation,Re-excavation of irrigation Channel at Patit Pry.Sansad. Mouza-Patit Dommahal,3213010005/IC/29,14-07-2011,134839,0,4095,4588,0  ,143522,
32000726969,Sechnala at Naldanga Mouza,"Construction of Canal, Distributary and Minor",Re-excavation Sechnala at Naldanga Moza,3213010005/IC/6,01-01-2010,11843,0,0,4588,0  ,16431,
32000726769,Domohani to Paduri Pukur atKonnagar Mouza,"Construction of Canal, Distributary and Minor",Desilting of Sechnala from Domohani to Poduri Pukur at konnagar Moza.,3213010005/IC/3,13-10-2009,44335,0,0,0,0  ,44335,
32000726476,Irrigation Channel at Telur Sansad,Lift Irrigation,Re-excavation of irrigation at TELUR Sansad.Mouza-Biur,3213010005/IC/22,22-06-2011,146241,0,4421,3080,0  ,153742,
32000726247,irrigation Channel at Basudebpur Sansad,Lift Irrigation,"Re-excavation of Irrigation Channeel at BASUDEBPUR Sansad,Mouza-Ratnapur",3213010005/IC/16,30-08-2010,120295,1914,4889,3088,0  ,130186,
32000730500,Azad Club to Betur Canel Bridge via Maszidtala Baropukur-Guardwall,Earthern road,Improvement of Earthen Road from Azad Club to Betur Canel Bridge Via Maszidtala Barapukur-Guardwall ,3213010005/RC/14,18-05-2009,46722,0,0,8671,0  ,55393,
32000730524,Swarupchak to Sedbandhar pool at Alipur Mouza,Earthern road,Improvement of Road from Swarupchak to Sed Bandharpul at Alipur Mouza,3213010005/RC/16,16-06-2008,44009,0,0,5971,0  ,49980,
32000730623,Biur Station pitch Rd. to Rakshitpara,Sand Moram,Repair Of Road From BIUR STATION PITCHROAD TO RAKSHIT PARA,3213010005/RC/24,19-12-2007,0,0,0,3088,0  ,3088,
32000730669,Layekpara to Bamun Bandhi,Sand Moram,Repair Of Road From Layek Para To Bamun Bandhi,3213010005/RC/28,19-12-2007,0,0,0,4580,0  ,4580,
32000730609,Lalbandh More to Lalbandh Cannel Bridge,Sand Moram,Repair Of Road From LALBANDH MORE TO LALBANDH CANELDHAR,3213010005/RC/23,19-12-2007,1930.98,0,0,3088,0  ,5018.98,
32000730635,Telur  pitch Rd. to Rakshitpara,Sand Moram,Repair Of Road From TELUR PITCH ROAD TO RAKSHIT PARA,3213010005/RC/25,19-12-2007,5990,0,0,36052.86,0  ,42042.86,
32000730718,Tajchak Kabirajpara to Basudebpur I.C.D.S Centre,Sand Moram,Imp. of Moorum Rd. from Tajchak Kabirajpara to Basudebpur I.C.D.S Centre.Mouza-Ratnapur,3213010005/RC/320201060124183,26-02-2014,15553,604,906,190300,0  ,207363,
32000730702,Kachari Danaga to Sayer Uttarpar to Metepara,Sand Moram,Repair Of Road From Kachari Danga To Sayer Uttar Par To Mete Para,3213010005/RC/31,03-08-2007,0,300,2709,92638.82,0  ,95647.82,
32000730687,Danna More to Metepara Culvet,Sand Moram,Repair Of Road From Dannya More To Mete Para Kalvart ,3213010005/RC/30,03-08-2007,0,0,0,116130,0  ,116130,
32000730729,Betur Cannel Bridge to Gopal Land at Danna,Earthern road,Imp. of Earthen & Moorum Rd from   Betur Canel Bridge to Gopal Land at Danna.,3213010005/RC/33,10-06-2010,11842,2800,3530,132206.89,0  ,150378.89,
32000730678,Danna Dighir Kone to Grambera Mahaprabhu Tala,Sand Moram,Repair Of Road From Dannya Dighir Kon To Grambera Mohapravu Tala ,3213010005/RC/29,03-08-2007,8122,225,1152,49211.09,0  ,58710.09,
32000730649,Patit Padua para to Ruidaspara Tematha,Sand Moram,Repair Of Road From PATITH PADUA PARA TO RUIDAS PARA TEMATHA ,3213010005/RC/26,19-12-2007,37832,4700,2621,7288,0  ,52441,
